#x	numberInfected
0	1
10	13
20	18
30	19
40	21
50	15
60	32
70	35
80	36
90	65
100	91
110	99
120	104
130	111
140	133
150	114
160	99
170	88
180	67
190	66
200	99
210	63
220	92
230	112
240	140
250	164
260	165
270	185
280	151
290	214
300	173
310	176
320	170
330	182
340	226
350	185
360	206
370	220
380	165
390	162
400	141
410	181
420	140
430	142
440	113
450	137
460	153
470	137
480	177
490	197
500	236
510	326
520	272
530	275
540	245
550	356
560	354
570	359
580	334
590	327
600	302
610	321
620	258
630	265
640	260
650	207
660	211
670	264
680	269
690	297
700	327
710	377
720	366
730	319
740	363
750	389
760	440
770	508
780	468
790	532
800	508
810	498
820	499
830	496
840	545
850	514
860	448
870	439
880	575
890	618
900	563
910	562
920	537
930	617
940	663
950	589
960	517
970	464
980	418
990	401
1000	376
1010	331
1020	338
1030	359
1040	366
1050	442
1060	398
1070	467
1080	455
1090	423
1100	433
1110	396
1120	500
1130	478
1140	526
1150	512
1160	447
1170	499
1180	566
1190	551
1200	572
1210	535
1220	561
1230	483
1240	434
1250	457
1260	441
1270	415
1280	411
1290	322
1300	291
1310	289
1320	247
1330	201
1340	180
1350	202
1360	199
1370	250
1380	182
1390	150
1400	102
1410	95
1420	111
1430	93
1440	82
1450	96
1460	63
1470	58
1480	39
1490	27
1500	7
1510	9
