#x	numberInfected
0	2
10	13
20	36
30	59
40	67
50	62
60	77
70	70
80	89
90	85
100	105
110	85
120	65
130	53
140	81
150	65
160	71
170	99
180	105
190	102
200	105
210	72
220	81
230	101
240	91
250	104
260	106
270	93
280	128
290	146
300	113
310	138
320	135
330	103
340	114
350	137
360	146
370	140
380	136
390	137
400	142
410	167
420	200
430	181
440	133
450	122
460	131
470	107
480	118
490	109
500	113
510	122
520	157
530	149
540	182
550	145
560	152
570	180
580	191
590	249
600	227
610	219
620	226
630	269
640	236
650	256
660	301
670	267
680	254
690	272
700	260
710	310
720	281
730	335
740	341
750	349
760	366
770	404
780	427
790	481
800	407
810	396
820	378
830	416
840	353
850	327
860	321
870	325
880	308
890	292
900	332
910	333
920	347
930	343
940	365
950	344
960	300
970	350
980	412
990	445
1000	424
1010	480
1020	535
1030	536
1040	455
1050	432
1060	494
1070	475
1080	482
1090	404
1100	458
1110	464
1120	462
1130	427
1140	371
1150	374
1160	459
1170	525
1180	424
1190	439
1200	550
1210	496
1220	495
1230	461
1240	403
1250	386
1260	431
1270	393
1280	387
1290	356
1300	534
1310	392
1320	405
1330	325
1340	355
1350	360
1360	378
1370	364
1380	338
1390	345
1400	403
1410	377
1420	368
1430	423
1440	332
1450	374
1460	371
1470	285
1480	314
1490	344
1500	322
1510	237
1520	254
1530	225
1540	233
1550	287
1560	274
1570	189
1580	123
1590	168
1600	144
1610	126
1620	149
1630	133
1640	123
1650	105
1660	92
1670	112
1680	136
1690	105
1700	121
1710	100
1720	104
1730	80
1740	72
1750	84
1760	61
1770	61
1780	59
1790	72
1800	57
1810	51
1820	15
1830	20
1840	22
1850	16
1860	36
1870	39
1880	20
1890	6
1900	1
1910	1
