0	2	2	3	3	2	4	1	1	3	1	2	1	3	2	1	2	1	2	2	2	1	1	1	2	3	1	1	1	1	2	2	2	2	3	2	2	3	2	1	3	2	4	3	1	2	2	1	3	3	2
5	6	7	5	10	7	14	7	7	10	10	11	7	7	2	11	11	7	5	12	17	2	6	1	12	8	6	8	8	6	5	13	8	8	20	11	13	4	11	3	4	6	14	10	3	8	10	19	15	6	14
10	20	19	3	16	6	19	10	23	32	19	31	8	13	2	12	13	11	20	20	25	1	12	5	14	15	7	17	8	11	32	15	24	5	26	25	10	9	8	24	4	14	28	11	10	16	21	35	16	6	18
15	25	31	6	15	14	23	36	30	42	18	31	9	24	7	24	12	13	32	24	25	NA	20	10	13	23	11	22	20	24	31	14	59	14	22	30	18	10	10	36	5	33	41	25	3	17	28	39	26	15	30
20	29	44	11	37	44	33	38	34	51	14	36	12	33	3	31	30	22	41	38	29	NA	29	27	10	37	9	16	27	24	41	14	90	20	27	39	23	11	3	71	7	30	71	45	NA	23	56	41	42	15	40
25	42	64	19	38	66	49	47	33	71	32	50	6	39	3	54	26	16	46	34	37	NA	27	45	21	29	14	23	40	40	53	20	138	28	34	55	32	17	NA	86	19	26	97	41	NA	29	89	79	49	36	58
30	74	92	23	65	103	68	51	34	102	43	74	14	58	3	75	31	25	42	41	40	NA	22	61	30	25	26	41	44	38	52	20	183	24	47	56	44	23	NA	105	27	25	143	58	NA	42	127	110	60	40	96
35	73	113	29	73	102	75	57	54	114	81	83	20	48	4	78	35	25	73	47	36	NA	37	76	75	62	42	46	46	55	77	34	225	20	54	60	63	31	NA	135	36	22	180	76	NA	63	147	148	116	50	148
40	93	173	51	89	150	101	49	69	188	96	95	32	61	10	87	70	48	88	78	58	NA	45	62	105	48	60	60	44	70	90	31	274	39	66	67	107	30	NA	189	51	33	258	104	NA	108	183	218	152	80	171
45	100	177	92	107	166	119	39	63	251	115	130	40	80	10	142	97	33	128	60	86	NA	60	82	156	72	70	50	39	94	98	27	334	40	92	87	142	51	NA	235	46	56	376	149	NA	100	213	257	201	107	207
50	110	264	101	119	247	133	57	97	287	170	151	40	133	27	179	172	51	144	92	116	NA	70	72	200	99	88	82	52	93	131	47	397	55	115	130	176	56	NA	310	70	66	488	215	NA	129	252	325	252	125	285
55	120	369	121	102	341	158	79	153	322	237	211	35	178	32	215	200	60	176	111	197	NA	84	94	291	117	113	85	59	93	155	75	434	61	100	196	226	69	NA	391	96	103	572	274	NA	151	303	429	334	170	340
60	154	453	145	133	458	197	97	188	410	344	268	42	174	43	300	265	77	271	144	252	NA	82	122	402	168	149	105	74	101	187	79	619	71	134	234	310	103	NA	521	143	171	648	418	NA	206	379	639	436	217	473
65	205	569	175	177	523	202	135	222	524	397	293	71	184	73	408	351	97	357	194	362	NA	92	146	522	192	155	108	96	136	297	78	769	63	145	318	371	121	NA	718	171	247	823	524	NA	288	566	856	549	299	599
70	238	669	227	264	640	293	194	309	690	496	366	113	204	85	574	457	137	500	259	501	NA	86	169	633	186	144	164	96	152	412	152	978	80	173	447	492	209	NA	860	223	357	1025	707	NA	388	728	1015	692	400	746
