0	3	3	3	4	2	3	4	4	2	2	4	1	5	2	4	3	2	4	5	3	4	3	2	2	3	3	2	3	3	3	2	3	3	5	2	5	3	5	4	4	2	4	4	2	4	5	4	2	3	3
5	36	36	29	47	32	38	53	34	14	16	18	5	42	34	30	37	35	37	30	24	53	45	48	23	38	33	30	34	35	41	38	43	32	32	3	37	31	96	57	50	47	43	36	30	32	33	51	47	28	41
10	130	92	93	156	92	95	111	81	62	63	47	26	87	78	84	104	85	104	84	67	158	130	119	117	122	126	77	124	105	78	84	157	85	79	15	120	74	365	142	112	107	109	79	109	111	107	158	154	67	139
15	306	233	181	437	206	205	262	147	134	153	188	92	182	158	204	247	156	246	206	129	512	283	243	381	147	352	178	276	222	178	209	402	136	202	49	341	156	877	356	288	246	305	223	213	228	288	392	441	149	282
20	761	665	397	966	468	517	596	377	377	309	418	271	357	430	464	591	257	544	389	265	1158	594	533	1055	315	745	403	618	514	436	460	931	210	473	103	750	263	1907	780	729	476	687	585	404	460	596	889	1068	386	591
25	1787	1577	876	2201	980	1308	1284	851	913	697	956	662	854	1151	1151	1354	491	1199	885	575	2619	1269	1120	2268	774	1609	785	1501	975	916	1170	2262	368	1039	215	1935	595	3921	1858	1693	1061	1400	1509	1018	1027	1232	1968	2544	926	1382
30	4006	3575	1970	4624	2292	3156	2783	1805	1907	1598	2107	1550	2173	2521	2618	3060	1017	2825	1828	1151	5421	2852	2441	4850	1742	3547	1731	3250	2233	2144	2855	5013	810	2248	392	4279	1379	8465	4029	3732	2129	3154	3309	2171	2365	2875	4336	6056	2182	3200
35	8580	7950	4454	9808	5039	7025	6218	3914	4338	3441	4651	3736	4889	5702	5659	6824	1972	5782	4346	2529	11607	6005	4894	9988	3994	7802	3590	6854	4766	4788	6290	10214	1776	4993	791	8686	2838	17076	8185	8206	4734	6475	6985	4525	5290	6119	9329	12776	4777	6812
40	17263	16550	9268	18659	10702	14637	13105	8194	9385	7571	10023	8179	10076	12083	11774	13899	4116	11753	9330	5486	21619	12527	9970	18859	8813	15648	7501	13735	9858	10001	13044	18719	3906	10880	1621	17481	5820	27564	15739	16164	10205	13278	14532	9149	10656	12154	18272	22488	10608	13502
45	28720	27612	17816	29756	20160	25448	23541	15909	17826	15882	19726	16013	18861	22223	21484	24899	8764	21057	18468	11461	32131	22831	18285	29529	17125	26491	15611	23911	18534	19379	22504	28475	8507	20842	3615	29203	11642	32338	26476	27029	19271	23528	24959	17136	19958	21655	28458	32836	19688	23758
50	33171	33895	28924	32313	30831	32514	32831	26868	28946	27526	30818	26397	28969	32138	30983	33056	16807	30575	29988	21606	30536	32091	29512	32132	28215	33051	25952	32103	29332	30007	31504	31019	16388	31560	7989	33246	21237	21878	32430	32685	29843	32205	32675	28699	30469	30527	31424	29402	30836	32059
55	21441	22920	33195	19088	31300	26396	27851	32567	31785	33059	30972	32453	31867	29336	30399	26704	27228	29712	31815	31534	14681	28347	31939	18167	31651	24133	32560	27444	32274	31553	28534	19436	26562	30991	16340	20596	31108	7246	23290	23233	32372	27302	26593	32250	30917	28547	20705	12532	31878	27303
60	6036	6829	19884	4542	16441	10027	11955	23353	20220	23688	17997	23852	18981	13962	14623	10705	31840	15613	19687	30031	2411	13592	18624	5047	22107	8373	24406	11256	19310	18327	13432	5760	31519	16179	28519	5932	29970	1064	8002	8074	17648	12378	10053	20636	17034	14885	6222	2250	17240	11734
65	842	846	5378	411	4065	1521	2167	7729	6095	7861	4739	8682	5217	3004	3206	1564	22096	3428	5434	14097	131	2570	4704	443	7162	1382	8911	1692	4485	4744	2944	608	23174	3277	33403	607	14903	57	1351	1173	4426	2187	1283	6015	4113	3673	748	166	3670	1967
70	43	71	533	6	272	70	135	897	863	1146	414	1117	319	222	219	53	7138	220	533	3529	1	105	498	4	788	45	1346	71	447	390	203	11	8521	217	21905	15	2912	0	78	18	337	134	55	604	364	249	17	2	234	72
75	0	4	3	NA	5	7	3	21	21	57	17	22	1	1	5	0	938	2	8	331	NA	NA	12	0	28	NA	53	NA	14	8	6	NA	1156	5	6906	NA	160	NA	2	NA	1	1	0	6	14	4	NA	NA	1	0
80	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	2	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	37	1	757	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
