0	1	2
5	8	1
10	12	NA
15	16	NA
20	11	NA
25	17	NA
30	13	NA
35	18	NA
40	24	NA
45	26	NA
50	24	NA
55	22	NA
60	31	NA
65	28	NA
70	21	NA
75	33	NA
80	37	NA
85	28	NA
90	21	NA
95	17	NA
100	18	NA
105	16	NA
110	16	NA
115	14	NA
120	16	NA
125	16	NA
130	22	NA
135	24	NA
140	26	NA
145	21	NA
150	22	NA
155	25	NA
160	31	NA
165	29	NA
170	20	NA
175	15	NA
180	11	NA
185	19	NA
190	14	NA
195	14	NA
200	11	NA
205	15	NA
210	30	NA
215	27	NA
220	37	NA
225	26	NA
230	21	NA
235	14	NA
240	18	NA
245	26	NA
250	32	NA
255	43	NA
260	52	NA
265	60	NA
270	56	NA
275	45	NA
280	55	NA
285	70	NA
290	73	NA
295	71	NA
300	84	NA
305	86	NA
310	86	NA
315	87	NA
320	85	NA
325	94	NA
330	123	NA
335	131	NA
340	138	NA
345	159	NA
350	198	NA
355	253	NA
360	235	NA
365	265	NA
370	248	NA
375	223	NA
380	224	NA
385	242	NA
390	238	NA
395	254	NA
400	273	NA
405	320	NA
410	392	NA
415	379	NA
420	419	NA
425	474	NA
430	544	NA
435	648	NA
440	725	NA
445	780	NA
450	874	NA
455	975	NA
460	958	NA
465	1066	NA
470	1178	NA
475	1233	NA
480	1257	NA
485	1412	NA
490	1559	NA
495	1723	NA
500	1729	NA
505	1781	NA
510	1964	NA
515	1902	NA
520	1964	NA
525	1980	NA
530	2031	NA
535	2182	NA
540	2282	NA
545	2395	NA
550	2581	NA
555	2677	NA
560	2743	NA
565	2657	NA
570	2646	NA
575	2776	NA
580	2831	NA
585	2761	NA
590	2636	NA
595	2450	NA
600	2423	NA
605	2502	NA
610	2458	NA
615	2301	NA
620	2185	NA
625	2140	NA
630	2013	NA
635	1917	NA
640	1754	NA
645	1627	NA
650	1515	NA
655	1362	NA
660	1237	NA
665	1119	NA
670	987	NA
675	875	NA
680	848	NA
685	771	NA
690	659	NA
695	633	NA
700	589	NA
705	494	NA
710	413	NA
715	332	NA
720	278	NA
725	243	NA
730	205	NA
735	213	NA
740	169	NA
745	166	NA
750	134	NA
755	125	NA
760	110	NA
765	100	NA
770	108	NA
775	88	NA
780	73	NA
785	56	NA
790	47	NA
795	55	NA
800	39	NA
805	34	NA
810	33	NA
815	37	NA
820	34	NA
825	24	NA
830	19	NA
835	8	NA
840	6	NA
845	5	NA
850	2	NA
855	1	NA
