0	3	2	3	4	4	4	4	2	2	1
5	26	15	34	31	46	39	38	32	37	10
10	88	56	72	53	92	120	103	70	73	23
15	207	128	163	151	164	271	214	175	154	47
20	452	270	326	234	323	554	450	302	408	97
25	923	501	662	365	786	1167	941	636	789	189
30	1782	1037	1198	637	1875	2090	1865	1273	1792	437
35	3462	2096	2458	1371	3959	4218	3845	2429	3457	821
40	6231	3989	4853	2624	7638	8004	6884	4839	6547	1833
45	11450	7533	9066	4779	13716	14299	12375	8655	11600	3602
50	18858	13346	16081	8709	22196	21848	19891	14738	19176	6828
55	26321	20827	24347	15258	28480	29247	27498	22529	27211	12156
60	27882	26815	29115	23121	26743	26722	28028	28537	29072	19344
65	19751	26843	24622	28184	16835	15858	19428	26182	20177	26100
70	10011	18116	13427	24821	6854	6008	7948	14755	8910	27517
75	3495	7614	4222	14632	1680	1422	1908	5137	2086	20578
80	832	2127	741	5256	265	173	253	1141	341	9343
85	94	272	64	1318	33	25	31	137	60	2541
90	9	21	5	158	1	2	3	7	7	296
95	1	2	0	21	NA	NA	NA	1	NA	18
100	NA	NA	NA	1	NA	NA	NA	NA	NA	2
