0	3	2	2	2	1	2	2	3	1	2
5	26	21	14	15	22	19	16	26	12	17
10	57	46	20	34	35	44	41	53	29	53
15	79	107	36	59	80	41	94	129	50	98
20	126	150	59	96	121	93	138	270	91	166
25	237	300	96	176	196	170	218	429	185	278
30	350	458	171	272	310	313	355	703	322	479
35	549	757	341	478	572	513	570	1174	634	762
40	885	1212	538	801	1014	788	773	1853	932	1197
45	1381	1799	870	1326	1833	1266	1198	2825	1539	1964
50	2183	3018	1427	2072	3050	2052	1721	4458	2494	3198
55	3299	4944	2391	3149	4671	3354	2765	6744	4226	5084
60	5237	7249	3831	5007	7097	5403	4312	9714	6608	7723
65	8009	10499	6151	7893	10722	8202	6556	13732	9564	11183
70	11633	14450	9466	11538	15155	11363	9976	18046	13226	15133
75	15388	18227	13584	15325	18875	15773	14252	20827	17440	19136
80	19151	20217	18111	19133	21212	20309	17857	20613	20904	21052
85	21202	20479	21201	21491	20790	21995	20447	17100	21703	19983
90	20029	17154	20933	20277	16365	19919	20406	11879	18548	15714
95	15534	10885	18069	15660	10183	15158	17292	6145	12568	10012
100	9170	5633	12245	9418	5006	8446	11784	2477	6124	4815
105	3962	2027	6389	4424	2021	3567	6234	747	2382	1537
110	1154	535	2634	1346	716	1149	2458	191	700	329
115	350	107	948	314	163	355	687	37	192	65
120	161	18	313	59	10	88	117	2	30	7
125	60	4	74	2	NA	14	7	NA	16	2
130	21	8	17	NA	NA	5	0	NA	4	2
135	3	2	3	NA	NA	NA	NA	NA	NA	1
140	2	NA	2	NA	NA	NA	NA	NA	NA	NA
145	3	NA	1	NA	NA	NA	NA	NA	NA	NA
150	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
