#x	numberInfected
0	4
1	5
2	9
3	14
4	19
5	23
6	28
7	35
8	39
9	42
10	46
11	53
12	54
13	56
14	57
15	55
16	60
17	66
18	76
19	89
20	107
21	122
22	123
23	140
24	158
25	178
26	205
27	226
28	255
29	281
30	305
31	319
32	348
33	389
34	435
35	480
36	510
37	526
38	552
39	598
40	631
41	683
42	741
43	810
44	865
45	889
46	962
47	1041
48	1134
49	1217
50	1312
51	1407
52	1534
53	1648
54	1773
55	1918
56	2085
57	2256
58	2433
59	2619
60	2844
61	3090
62	3361
63	3623
64	3887
65	4201
66	4558
67	4913
68	5313
69	5735
70	6184
71	6629
72	7170
73	7665
74	8275
75	8937
76	9575
77	10340
78	11147
79	11961
80	12899
81	13811
82	14863
83	15901
84	17025
85	18183
86	19414
87	20551
88	21826
89	23171
90	24510
91	25921
92	27274
93	28776
94	30248
95	31775
96	33145
97	34538
98	35778
99	36990
100	38194
101	39387
102	40161
103	40972
104	41682
105	42208
106	42422
107	42512
108	42577
109	42308
110	41821
111	41081
112	40188
113	38969
114	37668
115	36213
116	34419
117	32553
118	30673
119	28620
120	26481
121	24353
122	22221
123	20100
124	18036
125	15999
126	14139
127	12449
128	10825
129	9301
130	7965
131	6751
132	5618
133	4612
134	3803
135	3068
136	2447
137	1934
138	1486
139	1137
140	860
141	656
142	487
143	353
144	250
145	177
146	138
147	98
148	73
149	49
150	39
151	26
152	14
153	6
154	5
155	5
156	3
157	1
158	1
159	0
