0	3	1	2	1	2	2	1	1	2	1	2	2	3	1	1	1	1	2	2	1
10	31	19	26	33	21	39	12	29	28	27	30	39	43	27	12	23	21	31	35	25
20	78	50	82	97	68	98	47	81	91	82	115	122	78	61	43	94	62	65	72	77
30	156	147	127	239	151	243	142	175	152	128	239	274	111	120	152	222	151	144	134	123
40	405	275	195	553	367	547	328	330	347	293	519	588	284	157	341	393	325	327	306	227
50	933	572	288	1399	708	1321	724	602	643	568	1141	1242	577	344	820	710	596	699	478	497
60	2138	1416	654	3281	1628	3019	1632	1127	1423	1225	2430	2850	1319	713	1711	1432	1156	1511	951	934
70	4541	2759	1174	7164	3209	6155	3522	2439	2975	2483	5241	5828	2692	1447	3392	2999	2352	3115	1953	2109
80	9530	5636	2782	14659	6572	12346	7411	5553	6174	5226	10623	11732	5407	2918	6553	5805	4908	6224	4334	4532
90	17736	11188	6112	25991	13264	23046	14988	11247	12024	10438	19614	20802	10452	5889	12123	10624	9697	12637	8918	9106
100	29256	19744	13459	36515	23776	33853	26878	20683	22557	19411	32162	31414	19409	11833	21371	19479	18275	23194	16488	17268
110	37236	31545	24584	35022	35261	35883	36773	31958	33533	31032	38862	36971	31099	21459	32765	30541	29040	34231	27022	28545
120	30971	36831	35860	19063	36351	24693	34511	37976	36798	37233	28242	26996	37514	32147	36558	37459	36461	37065	36886	37207
130	15024	27803	37133	6440	22139	9038	19254	27529	24956	28478	10843	10923	28727	36358	25869	28503	30315	23588	33081	32569
140	3567	11433	21890	1198	7112	1456	5079	10234	8486	12342	1639	1854	11772	25898	8787	11156	14659	7760	16736	15565
150	273	2239	6782	103	1061	70	560	1604	1394	2610	84	84	2264	10209	1370	2115	3326	1132	4050	3012
160	5	221	805	3	46	0	10	84	100	309	1	0	145	2053	98	168	408	148	427	181
170	NA	16	15	NA	2	NA	NA	2	3	7	NA	NA	8	202	3	1	29	5	8	2
180	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	5	NA	NA	NA	NA	NA	NA
190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
