0	4	5	4	5	4	4	4	3	4	4	3	4	5	3	4	4	2	4	3	5	5	3	3	4	3	4	2	3	3	5	4	4	3	5	3	2	4	5	4	3	3	5	3	4	3	4	4	5	4	5
5	66	48	41	69	90	40	93	50	69	48	51	45	59	42	59	51	43	53	42	55	45	40	49	44	49	43	43	71	45	60	48	60	61	49	46	56	50	53	47	72	38	44	47	64	58	57	50	46	56	80
10	253	163	181	289	313	108	329	106	383	183	144	91	287	138	297	238	94	148	123	130	135	124	137	100	240	171	127	276	112	129	239	265	301	139	178	169	192	131	121	237	108	115	164	197	175	186	148	174	139	316
15	804	583	533	845	999	282	803	205	1188	496	441	164	887	336	836	908	152	496	382	271	515	424	342	186	814	472	290	683	316	366	617	695	958	341	483	486	568	372	326	666	257	388	534	619	490	608	419	605	346	968
20	2356	1896	1601	2247	3046	750	2288	747	3160	1505	1321	409	2356	905	2755	2602	518	1728	1258	732	1593	1579	1067	397	2237	1609	800	1814	1155	957	1890	1886	2659	945	1520	1218	1704	1086	1065	2101	749	1331	1776	1918	1539	1982	1491	1720	1074	3038
25	6368	5309	4380	6230	8501	1966	6218	2309	8727	4793	3716	1234	6407	2505	8042	7079	1440	4920	3790	2290	4294	4866	3436	1174	6006	4758	2313	4783	3650	2796	5472	4993	6944	2754	4381	3779	4497	3379	3369	6106	2313	4277	5139	5546	4498	5568	4223	4592	2964	8445
30	16023	13721	11435	15383	20930	5559	15526	5849	21351	12691	10299	3439	16232	6859	19796	18192	4382	12612	10177	6183	11217	12858	9802	3630	15127	13133	6347	12082	9601	7536	14512	13135	17616	7710	11592	10530	11433	9219	9499	15373	6860	11526	12962	14559	12363	14857	10781	12330	8377	20322
35	31803	29574	25123	30498	35773	15545	30931	15014	36733	27299	24465	9363	32046	16890	35406	34304	11534	26858	23581	15063	24882	28646	23182	9992	30525	29238	15869	26006	22799	18212	29443	27102	33318	18836	26055	24647	24820	22519	22365	29347	18080	25013	28205	29517	26890	31302	24416	26951	21364	35425
40	35017	35856	36212	34671	28656	31180	33579	30075	27660	37005	37395	22220	33811	33284	30056	32136	26092	35131	35540	30569	35806	36670	36639	23178	35091	37041	31427	35255	37240	33920	35783	35740	31934	34682	36838	36885	35456	36306	36374	33681	34151	36255	35971	35584	37094	36046	35579	36618	36893	29397
45	11528	15748	21749	13564	5951	34815	13351	34884	5629	18895	23346	35199	11636	32337	7209	8692	37223	19665	24667	35028	22481	17465	25537	37182	13327	16920	34407	20866	25490	32500	15388	18145	10408	31130	20219	23321	22577	26075	26422	15614	32137	22509	17513	15226	19237	12946	23394	19264	27306	6808
50	708	1948	3310	1103	262	13648	1810	14148	223	1875	3614	26619	1101	10336	379	608	20351	3021	5072	13375	3650	2149	4741	24720	1381	1774	12291	3157	4788	8276	1603	2670	609	7739	3259	3814	3480	5575	5149	1657	9724	3112	2512	1573	2685	1315	4155	2454	6056	237
55	8	73	99	8	1	1180	42	1355	1	15	30	5779	1	883	11	5	2832	74	247	1346	86	44	127	4418	11	12	886	100	169	404	39	74	9	479	124	66	103	256	193	61	556	43	88	35	79	38	136	9	345	NA
60	NA	NA	1	NA	NA	7	NA	23	NA	NA	NA	308	NA	17	NA	NA	109	0	2	32	0	NA	2	137	NA	NA	14	NA	0	0	NA	NA	NA	3	NA	NA	NA	0	3	NA	0	NA	2	NA	NA	NA	NA	NA	0	NA
65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
