0	2	1	2	3	1	1	2	1	2	1	2	2	1	2	2	3	1	1	2	3	1	2	3	1	2	1	3	2	2	1	1	3	1	2	2	2	1	2	3	3	3	2	2	1	2	1	1	1	2	2
5	12	8	16	17	2	5	10	3	7	8	10	11	8	10	13	9	3	4	10	15	6	18	12	4	12	13	25	8	21	6	8	11	3	11	5	20	5	11	6	14	9	10	4	5	3	10	NA	3	9	11
10	23	2	31	30	NA	12	22	10	8	9	16	21	9	22	21	13	8	16	17	20	25	30	15	6	32	16	33	7	23	11	19	9	6	30	7	21	17	24	19	37	9	22	23	9	2	21	NA	11	15	30
15	48	10	31	40	NA	21	36	26	16	8	11	37	20	27	17	23	17	24	34	28	37	42	35	7	48	8	56	22	36	25	32	29	12	62	16	30	28	26	30	45	25	19	37	24	7	17	NA	11	37	47
20	97	11	29	66	NA	20	49	45	29	24	18	42	28	40	34	40	17	45	67	34	57	76	48	17	78	12	66	36	61	31	41	56	31	107	21	50	45	30	33	59	38	18	70	45	14	25	NA	16	69	69
25	143	18	49	64	NA	22	69	49	25	17	43	60	34	46	50	39	25	60	85	61	98	113	57	26	90	24	103	62	107	47	61	92	53	182	21	52	74	53	56	72	42	22	105	46	32	44	NA	10	73	88
30	200	30	68	93	NA	33	76	48	31	19	68	80	48	58	51	71	41	64	137	75	127	153	98	50	110	39	149	89	161	108	79	140	75	211	37	89	93	31	63	80	47	23	142	70	43	41	NA	18	126	136
35	272	57	105	133	NA	54	138	61	59	36	65	105	42	69	92	128	45	105	186	111	163	164	125	65	174	53	196	153	214	127	154	175	104	303	46	157	121	40	98	120	71	27	161	125	57	48	NA	37	171	183
40	391	97	118	162	NA	79	206	49	100	52	95	118	47	105	103	196	103	153	277	161	271	232	159	122	219	63	285	223	331	156	182	235	185	443	72	216	149	42	108	172	119	39	224	212	75	103	NA	83	225	237
45	617	120	206	208	NA	163	279	68	92	60	120	156	50	111	137	274	147	220	456	251	389	298	236	161	319	86	312	324	465	212	243	298	222	575	95	311	208	74	148	253	141	51	296	278	98	173	NA	113	297	377
50	945	147	296	353	NA	235	343	107	117	98	163	238	81	118	180	404	215	325	642	318	545	371	384	226	441	113	416	404	683	274	314	432	318	775	86	458	253	109	194	346	146	68	482	376	101	218	NA	169	406	553
55	1352	180	363	497	NA	277	446	145	205	152	205	347	109	163	241	545	305	373	837	373	780	485	523	280	567	145	524	586	1044	331	429	569	384	1003	120	592	344	137	227	446	255	119	638	457	130	292	NA	203	505	701
60	1907	214	407	655	NA	430	559	195	203	203	281	448	138	229	304	794	425	521	1205	555	1059	611	722	364	743	214	727	803	1407	422	611	783	469	1404	209	801	425	174	310	580	409	129	888	609	187	426	NA	304	694	1022
65	2798	292	529	893	NA	569	723	232	291	241	402	617	151	260	334	1151	643	614	1608	753	1523	893	984	547	1093	263	1001	1040	1789	578	735	1111	701	1870	287	1062	552	260	438	719	538	215	1212	796	257	553	NA	420	1042	1448
70	3560	371	811	1174	NA	837	942	392	412	321	488	843	209	329	421	1462	935	800	2092	1039	2029	1144	1350	782	1516	364	1362	1531	2549	830	976	1417	1048	2458	423	1403	771	365	552	1020	711	326	1627	1109	351	822	NA	555	1433	2000
75	4840	538	1046	1514	NA	1134	1216	492	463	476	607	1075	252	472	550	2134	1320	1031	2732	1431	2795	1623	1907	954	2028	480	1913	2209	3404	1189	1385	2013	1426	3142	587	2012	906	506	690	1395	1006	440	2181	1472	447	1190	NA	753	1911	2838
80	6125	728	1285	2093	NA	1471	1668	629	649	606	780	1455	353	688	691	2861	1781	1383	3728	1886	3767	2101	2590	1223	2632	676	2510	3059	4546	1604	1855	2698	1920	4285	882	2589	1239	717	888	1889	1440	627	3038	2110	560	1613	NA	1091	2600	3692
85	7718	1004	1791	2870	NA	1930	2278	932	836	778	1034	2031	475	934	965	3651	2422	1904	4883	2559	4978	2581	3572	1487	3666	963	3367	3950	5716	2194	2504	3672	2583	5552	1113	3536	1695	1029	1213	2396	1931	949	3876	2824	835	2174	NA	1551	3355	4874
90	9432	1381	2492	4043	NA	2573	3007	1240	984	1047	1454	2714	618	1245	1173	4942	3343	2656	6363	3651	6409	3614	4939	1929	4740	1259	4354	5224	7378	2887	3294	4894	3671	7019	1471	4555	2190	1378	1757	3071	2702	1373	5260	3626	1235	3138	NA	2201	4313	6336
95	10739	1780	3264	5185	NA	3526	4179	1728	1344	1373	2052	3594	859	1748	1559	6519	4417	3350	8237	4740	8309	4778	6341	2473	6070	1811	5427	6515	9232	3873	4282	6401	4804	8717	1876	5730	2799	1985	2280	4082	3681	1912	6562	4890	1722	4015	NA	3051	5587	7987
100	11809	2419	4073	6787	NA	4711	5391	2351	1868	1882	2586	4720	1212	2272	2193	7990	5875	4621	9904	6251	10016	6265	8168	3312	8032	2465	7132	8474	10672	4955	5529	7898	6277	10336	2508	7244	3649	2615	3212	5496	4922	2654	7972	6049	2448	5398	NA	4041	7018	9763
105	12690	3169	5421	8412	NA	5952	7098	3071	2520	2667	3465	6198	1659	2971	2845	9959	7488	6154	11562	7775	11927	7620	10144	4440	9730	3279	8963	9957	12072	6341	7157	9552	8087	12033	3259	8979	4799	3614	4163	7006	6387	3612	9570	7535	3289	7051	NA	5331	8759	11307
110	12829	4215	7258	9876	NA	7668	8916	4219	3326	3591	4365	7616	2250	4056	3875	11405	9187	7882	12858	9636	12890	9378	12073	5852	11465	4269	10707	11627	12417	7983	8899	11331	9746	12940	4493	10642	6110	4590	5405	8500	8132	4777	10785	9126	4476	8704	NA	6832	10372	12699
115	11669	5622	9149	11199	NA	9627	10851	5495	4518	4741	5734	9643	3069	5217	4967	12287	10899	9733	13249	11258	13205	10941	13222	7364	12710	5515	12194	12840	12645	9611	10646	12479	11294	13057	5839	11994	7611	6093	6766	9760	10036	6067	11831	10474	5702	10320	NA	8648	11911	13433
120	9857	7221	10804	12586	NA	11088	12892	6727	5759	6026	7346	11190	4182	6774	6288	12829	12613	11643	12672	12483	12659	12123	13484	9073	13173	7158	12894	13409	11477	11549	11925	13006	12668	12166	7273	12928	8989	7970	8629	11304	11561	7632	12158	11447	7182	11978	NA	10474	12907	13095
125	7421	8919	12033	12850	NA	12165	13674	8637	7484	7638	9214	12347	5455	8383	7841	12109	13580	13030	11244	13299	11197	13040	12680	10946	12536	8533	12653	12817	9695	12743	13132	12594	13578	10216	8861	12822	10651	9799	10411	12356	12869	9346	12041	12122	9015	12953	NA	12221	12980	11314
130	4750	10675	12616	12415	NA	12931	13584	10444	9277	9399	10957	12936	7052	10165	9952	10521	13139	13430	8827	12759	8785	12530	11091	12131	10914	10146	11879	10796	7500	12836	13482	10979	12887	7587	10266	11403	11820	11586	11924	12510	13290	11468	10517	12077	10534	12927	NA	13431	11629	9016
135	2951	12087	12405	10848	NA	12335	12447	12254	10941	11131	12246	12456	8918	11662	11805	8648	11933	12870	6196	11276	5938	11415	8865	12560	8493	11756	9817	8571	5244	12346	12443	8987	11331	5336	11345	9494	12627	12771	12639	11938	12881	13028	8689	11069	12205	11918	NA	13946	9772	6321
140	1666	12946	11423	8497	NA	11416	10248	13237	12285	12278	12791	11318	10438	12862	13435	6509	9763	11208	3828	8960	3621	9105	6167	12206	6420	12587	7269	5728	3380	11027	9946	6557	9021	3047	12113	7063	12534	13044	12638	10056	11772	13659	6410	9202	12859	10275	NA	12576	7551	4124
145	859	12657	10040	6145	NA	9246	7190	13029	13065	12877	12684	9157	11767	12469	13628	4555	7169	8765	2315	6562	2205	6630	3954	11174	4559	12574	5124	3634	2072	8484	7304	4450	6556	1763	12106	4944	11476	12632	11728	7945	9293	12823	4550	7456	12790	8265	NA	10316	5209	2437
150	420	11766	7910	3944	NA	6873	4627	12290	12840	12919	11451	6836	12554	12003	12796	2752	4836	6193	1295	4392	1318	4333	2239	9166	2822	11493	3272	2049	1059	6079	4751	2669	4202	950	11276	3211	9450	11099	9754	5683	6364	11260	2945	5343	11460	5803	NA	7829	3307	1233
155	197	9898	5565	2322	NA	4723	2619	10400	11582	11443	9391	4725	12667	10538	10815	1587	2994	4074	650	2673	745	2588	1270	7015	1533	10312	1892	1061	485	3968	2940	1393	2513	390	9842	1992	6934	8971	7789	3964	3884	9040	1773	3544	9857	3732	NA	5298	1939	597
160	73	7346	3411	1177	NA	2955	1384	8087	9513	9423	6914	2749	11780	8288	8075	936	1561	2348	222	1481	324	1392	596	4874	773	8168	929	557	209	2630	1743	618	1361	193	7987	1182	4590	6553	5486	2457	2130	6633	1036	1994	7534	2182	NA	3243	950	243
165	42	5117	1835	579	NA	1747	770	5428	7026	6864	4691	1420	10193	5954	5798	456	652	1430	111	788	151	804	217	3345	412	5802	465	269	119	1564	891	303	660	54	5486	570	2683	4412	3591	1435	1122	4427	575	1108	5256	1128	NA	1771	488	121
170	31	3264	952	281	NA	991	356	3173	4792	4453	3047	602	7848	3802	3636	276	316	711	41	387	58	451	114	2092	188	3854	276	115	42	834	380	153	275	29	3735	240	1366	2684	2264	757	479	2526	220	530	3523	548	NA	1006	266	69
175	15	2000	432	126	NA	438	152	1737	2837	2659	1867	267	5747	2168	1977	146	139	339	39	234	25	228	49	1093	108	2144	124	65	18	366	143	73	116	16	2309	115	608	1461	1388	349	202	1422	105	231	1994	269	NA	473	110	41
180	7	1234	169	43	NA	193	49	950	1554	1523	1034	110	3527	1195	941	77	47	183	11	118	13	126	24	565	66	1139	35	18	13	127	52	19	38	13	1188	57	294	728	752	130	96	721	50	101	1052	113	NA	224	55	14
185	NA	673	58	26	NA	83	20	454	782	713	553	33	1946	594	420	50	26	92	2	53	11	45	4	303	26	531	13	13	13	38	11	14	15	2	632	29	129	329	388	52	44	370	28	60	556	61	NA	96	5	9
190	NA	301	22	2	NA	37	4	180	388	300	294	3	1045	264	190	36	5	36	3	21	3	22	NA	141	32	210	1	8	NA	13	1	13	0	1	352	4	60	116	180	27	24	236	10	51	263	14	NA	31	NA	5
195	NA	135	2	2	NA	21	1	88	160	122	165	4	544	122	66	28	1	19	2	6	NA	10	NA	68	17	83	NA	4	NA	1	NA	5	NA	NA	169	4	40	55	76	5	12	95	5	29	109	8	NA	6	NA	NA
200	NA	61	NA	6	NA	2	NA	28	76	47	67	2	248	52	17	13	NA	11	NA	1	NA	9	NA	31	10	36	NA	0	NA	NA	NA	1	NA	NA	51	4	30	19	47	4	2	30	3	10	57	2	NA	1	NA	NA
205	NA	23	NA	3	NA	NA	NA	14	45	36	25	NA	182	9	5	3	NA	11	NA	NA	NA	3	NA	8	3	13	NA	NA	NA	NA	NA	NA	NA	NA	11	3	35	6	20	7	NA	13	4	7	49	1	NA	NA	NA	NA
210	NA	17	NA	1	NA	NA	NA	8	21	17	5	NA	135	2	1	5	NA	5	NA	NA	NA	0	NA	4	4	5	NA	NA	NA	NA	NA	NA	NA	NA	3	1	19	2	11	1	NA	7	NA	5	30	3	NA	NA	NA	NA
215	NA	11	NA	NA	NA	NA	NA	1	5	20	3	NA	80	5	NA	6	NA	3	NA	NA	NA	NA	NA	0	0	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	0	1	NA	NA	15	NA	2	23	2	NA	NA	NA	NA
220	NA	8	NA	NA	NA	NA	NA	NA	3	15	NA	NA	38	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	17	NA	1	7	2	NA	NA	NA	NA
225	NA	2	NA	NA	NA	NA	NA	NA	1	6	NA	NA	13	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	6	NA	NA	3	NA	NA	NA	NA	NA
230	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
235	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
