0	1	2
5	16	5
10	29	11
15	41	13
20	55	20
25	62	26
30	98	53
35	181	65
40	223	73
45	306	100
50	409	130
55	562	177
60	726	280
65	949	375
70	1208	518
75	1663	649
80	2321	906
85	3142	1306
90	4057	1673
95	5589	2310
100	7365	3263
105	9203	4515
110	11523	5947
115	14301	7693
120	16190	9885
125	17453	12190
130	17812	14209
135	16247	16266
140	13293	17675
145	9863	17259
150	7135	15917
155	4563	13347
160	2654	9848
165	1300	6589
170	559	4061
175	242	2217
180	105	1106
185	37	552
190	11	243
195	2	97
200	NA	52
205	NA	22
210	NA	10
215	NA	11
220	NA	5
225	NA	2
