0	8e-04	0.0012	4e-04	0.0012	4e-04	8e-04	4e-04	4e-04	8e-04	4e-04	4e-04	0.0016	8e-04	4e-04	8e-04	8e-04	4e-04	8e-04	0.0016	4e-04	8e-04	4e-04	8e-04	8e-04	0.0012	0.0012	4e-04	8e-04	4e-04	8e-04	4e-04	8e-04	8e-04	8e-04	4e-04	4e-04	4e-04	0.0016	8e-04	8e-04	4e-04	4e-04	4e-04	4e-04	8e-04	8e-04	4e-04	8e-04	8e-04	4e-04	4e-04	4e-04	8e-04	0.0012	4e-04	8e-04	8e-04	0.0016	4e-04	4e-04	4e-04	0.0012	8e-04	4e-04	8e-04	8e-04	4e-04	0.0012	4e-04	8e-04	4e-04	4e-04	8e-04	4e-04	8e-04	4e-04	4e-04	4e-04	4e-04	4e-04	4e-04	8e-04	4e-04	8e-04	4e-04	8e-04	0.0012	8e-04	4e-04	4e-04	8e-04	8e-04	8e-04	8e-04	4e-04	8e-04	0.0012	4e-04	0.0012	0.0012
5	0.0052	0.0028	NA	0.0048	0.0016	0.002	0.0028	8e-04	0.0028	0.0028	0.006	0.0068	0.002	8e-04	0.0044	0.0012	0.0024	0.0064	0.006	0.0036	0.0032	0.0036	0.0056	0.0044	0.008	0.0084	0.0044	0.004	0.0048	0.0024	0.0036	0.0044	0.0036	0.006	0.0048	0.0024	0.0012	0.0092	0.0016	0.004	8e-04	0.0024	0.0036	4e-04	0.0024	0.0048	0.0012	0.004	0.0024	0.0032	0.0044	0.002	0.0016	0.0084	0.0024	0.0052	0.0028	0.0048	0.0032	0.0024	0.0012	0.0044	0.004	0.0012	0.0028	0.0016	0.0012	0.004	0.0012	0.006	8e-04	0.0028	NA	0.0016	0.004	4e-04	0.0024	0.002	0.0012	0.0032	0.0012	0.0076	0.0032	0.0052	0.002	0.0044	0.0052	0.0072	0.0028	0.0016	0.0064	0.002	8e-04	0.0044	0.0068	0.0024	0.0048	0.0028	0.006	0.0092
10	0.012	0.0084	NA	0.0096	0.0068	0.006	0.0104	0.0028	0.004	0.0084	0.014	0.0104	0.0052	0.0016	0.0096	0.0024	0.0068	0.0132	0.012	0.0108	0.0116	0.0068	0.012	0.0108	0.0172	0.0176	0.0128	0.0092	0.0052	0.004	0.0108	0.012	0.006	0.0168	0.0144	0.0052	0.0052	0.0168	0.0024	0.0088	NA	0.0036	0.008	NA	0.0064	0.012	0.0016	0.0076	0.006	0.0068	0.0068	0.0064	0.002	0.016	0.0028	0.0104	0.0084	0.0148	0.008	0.0052	0.0036	0.0136	0.0072	NA	0.0048	0.0024	0.0016	0.0088	0.0036	0.0104	0.0024	0.0052	NA	0.0028	0.0064	NA	0.0036	0.0024	0.0028	0.0048	0.0036	0.0144	0.006	0.0152	0.006	0.0124	0.014	0.0156	NA	0.002	0.012	0.0036	NA	0.0108	0.0168	0.0056	0.0096	0.004	0.008	0.0288
15	0.026	0.0172	NA	0.016	0.0136	0.0112	0.0164	0.0068	0.006	0.0168	0.0228	0.0196	0.0112	0.0052	0.0148	0.006	0.0124	0.0236	0.0176	0.0156	0.02	0.0112	0.0192	0.0164	0.0248	0.0228	0.022	0.0152	NA	0.0068	0.0172	0.0188	0.008	0.0224	0.0276	0.0056	0.008	0.0272	0.0028	0.0208	NA	0.0044	0.0196	NA	0.0132	0.0168	NA	0.014	0.01	0.0196	0.0092	0.0128	0.004	0.0288	NA	0.0196	0.0156	0.0256	0.0144	0.014	0.0048	0.0256	0.0124	NA	0.0064	0.004	NA	0.0192	0.006	0.0172	NA	0.0096	NA	0.0036	0.0112	NA	0.0044	0.0052	0.0068	0.0068	0.0096	0.0208	0.012	0.022	0.014	0.0208	0.0224	0.0372	NA	0.0028	0.0144	0.0044	NA	0.0156	0.0304	0.0084	0.0136	0.0072	0.0132	0.0496
20	0.0424	0.0308	NA	0.0252	0.0236	0.0132	0.0248	0.0132	0.008	0.0224	0.0316	0.0332	0.018	0.0104	0.0212	0.0128	0.0156	0.0316	0.0256	0.0216	0.0312	0.0184	0.0256	0.0188	0.0328	0.032	0.0264	0.0192	NA	0.0124	0.0328	0.028	0.01	0.0292	0.0416	NA	0.0132	0.0368	NA	0.0332	NA	NA	0.0336	NA	0.0208	0.0244	NA	0.0188	0.0168	0.044	0.014	0.0208	NA	0.0472	NA	0.0352	0.0212	0.034	0.0232	0.02	0.0092	0.0468	0.0228	NA	0.008	0.0068	NA	0.0356	0.0088	0.026	NA	0.0128	NA	0.0084	0.022	NA	0.0064	0.0068	0.0108	0.0096	0.0212	0.0256	0.018	0.0384	0.0312	0.0304	0.0352	0.0616	NA	0.0036	0.0196	0.0048	NA	0.028	0.044	0.01	0.0168	0.0108	0.0172	0.0704
25	0.0568	0.0468	NA	0.03	0.0388	0.0144	0.036	0.0216	0.0096	0.0292	0.0412	0.0448	0.0292	0.016	0.0276	0.0272	0.0176	0.0416	0.0392	0.0284	0.0468	0.0252	0.036	0.0264	0.0384	0.0416	0.0344	0.032	NA	0.0192	0.0492	0.0408	0.0144	0.038	0.058	NA	0.0188	0.0476	NA	0.0408	NA	NA	0.0508	NA	0.0264	0.028	NA	0.0256	0.0256	0.068	0.0172	0.038	NA	0.0708	NA	0.054	0.0356	0.048	0.038	0.0256	0.0156	0.0688	0.034	NA	0.0092	0.0104	NA	0.0584	0.0108	0.0376	NA	0.0188	NA	0.0116	0.0396	NA	0.0096	NA	0.016	0.0112	0.0308	0.034	0.0212	0.0616	0.0484	0.044	0.0584	0.078	NA	0.0052	0.0244	0.0056	NA	0.046	0.0608	0.0108	0.0248	0.0144	0.0212	0.094
30	0.0664	0.0676	NA	0.0392	0.0492	0.0156	0.0484	0.028	0.0132	0.0388	0.056	0.0576	0.0404	0.024	0.036	0.046	0.0212	0.0492	0.0528	0.0328	0.0716	0.0316	0.0516	0.0364	0.0408	0.0508	0.0484	0.0432	NA	0.0308	0.064	0.048	0.0212	0.0528	0.0776	NA	0.0288	0.0576	NA	0.048	NA	NA	0.0736	NA	0.0368	0.034	NA	0.0408	0.0432	0.1028	0.0208	0.0552	NA	0.0936	NA	0.0828	0.054	0.0636	0.0536	0.0364	0.024	0.088	0.0492	NA	0.01	0.0136	NA	0.0904	0.0124	0.048	NA	0.024	NA	0.0128	0.0556	NA	0.0112	NA	0.0272	0.0144	0.0484	0.0476	0.0284	0.0876	0.0656	0.07	0.0808	0.0964	NA	0.006	0.0328	NA	NA	0.0648	0.0852	0.0136	0.0332	0.0188	0.0244	0.1208
35	0.0784	0.0924	NA	0.0516	0.0596	0.0156	0.0624	0.0396	0.0196	0.0492	0.0792	0.0692	0.0488	0.0352	0.048	0.0664	0.0232	0.0584	0.072	0.0384	0.0936	0.0392	0.054	0.0468	0.0448	0.0628	0.0636	0.0568	NA	0.04	0.0896	0.0528	0.03	0.0692	0.0928	NA	0.0496	0.0784	NA	0.0596	NA	NA	0.0988	NA	0.0448	0.038	NA	0.058	0.074	0.1416	0.0228	0.0748	NA	0.1176	NA	0.1104	0.0776	0.0824	0.0664	0.0448	0.034	0.1184	0.0636	NA	NA	0.02	NA	0.1268	0.0136	0.0584	NA	0.0284	NA	0.0148	0.0708	NA	0.0144	NA	0.036	0.0184	0.0644	0.0608	0.038	0.122	0.0812	0.0952	0.1012	0.1212	NA	0.0072	0.0444	NA	NA	0.0852	0.1168	0.0184	0.0456	0.0224	0.0272	0.156
40	0.0904	0.1188	NA	0.0604	0.0824	NA	0.0752	0.0524	0.026	0.0664	0.1004	0.0912	0.0572	0.0492	0.0612	0.0872	NA	0.0748	0.0956	0.044	0.12	0.0548	0.056	0.0532	0.0492	0.0768	0.0764	0.0668	NA	0.0512	0.1096	0.058	0.0368	0.084	0.112	NA	0.07	0.106	NA	0.0708	NA	NA	0.1208	NA	0.0484	0.0412	NA	0.0836	0.1108	0.1812	NA	0.1036	NA	0.146	NA	0.136	0.1128	0.1076	0.0836	0.0492	0.0384	0.1544	0.0756	NA	NA	0.0292	NA	0.1608	0.0152	0.0692	NA	0.0332	NA	0.0184	0.0788	NA	0.0204	NA	0.0524	0.026	0.0804	0.0736	0.0484	0.1548	0.1012	0.1224	0.1176	0.1568	NA	0.0088	0.0548	NA	NA	0.1164	0.1428	0.0208	0.062	0.0256	0.0312	0.1888
45	0.106	0.1428	NA	0.0752	0.1032	NA	0.094	0.068	0.0368	0.09	0.1188	0.1128	0.0648	0.0732	0.0736	0.1224	NA	0.0976	0.124	0.052	0.1552	0.0752	0.0568	0.0596	0.0564	0.092	0.0832	0.0764	NA	0.062	0.1252	0.0644	0.0412	0.1072	0.1328	NA	0.0932	0.1392	NA	0.086	NA	NA	0.1376	NA	0.0556	0.044	NA	0.13	0.1488	0.2288	NA	0.1348	NA	0.1832	NA	0.158	0.142	0.1332	0.1104	0.0528	0.048	0.1948	0.0892	NA	NA	0.0392	NA	0.1928	0.0164	0.086	NA	0.0404	NA	0.024	0.088	NA	0.0284	NA	0.072	0.032	0.0972	0.084	0.0644	0.1908	0.128	0.1564	0.1324	0.1984	NA	0.012	0.0724	NA	NA	0.1512	0.1748	0.0224	0.0816	0.0352	0.0384	0.2268
50	0.1208	0.1648	NA	0.096	0.1252	NA	0.1092	0.0844	0.048	0.11	0.142	0.1408	0.0712	0.1008	0.0844	0.1372	NA	0.1216	0.1552	0.0628	0.1964	0.1036	0.0572	0.07	0.0612	0.1076	0.088	0.0912	NA	0.0784	0.1408	0.0692	0.0452	0.1368	0.154	NA	0.116	0.1792	NA	0.0956	NA	NA	0.1584	NA	0.0688	0.0464	NA	0.1664	0.1892	0.2656	NA	0.1844	NA	0.2168	NA	0.1752	0.1644	0.1616	0.152	0.0544	0.0596	0.2416	0.0972	NA	NA	0.0508	NA	0.2264	0.0172	0.1	NA	0.0452	NA	0.0276	0.0984	NA	0.0424	NA	0.0928	0.0404	0.1248	0.0964	0.0872	0.2188	0.1532	0.1928	0.15	0.242	NA	0.0144	0.0936	NA	NA	0.18	0.216	0.0244	0.1016	0.0404	0.0464	0.2704
55	0.1392	0.1896	NA	0.12	0.1508	NA	0.1204	0.1016	0.0608	0.1472	0.1704	0.1632	0.0796	0.1336	0.0968	0.1528	NA	0.1488	0.1816	0.0748	0.2396	0.144	0.0596	0.0776	0.0656	0.1244	0.0928	0.1116	NA	0.0932	0.1592	0.0756	0.0504	0.1712	0.1832	NA	0.1376	0.2148	NA	0.11	NA	NA	0.1944	NA	0.0772	0.0488	NA	0.1992	0.2304	0.316	NA	0.234	NA	0.2464	NA	0.1984	0.188	0.1952	0.1964	0.056	0.0756	0.2852	0.106	NA	NA	0.0608	NA	0.27	NA	0.1196	NA	0.0508	NA	0.0304	0.1096	NA	0.0592	NA	0.1204	0.058	0.1548	0.1064	0.1128	0.2384	0.1848	0.2304	0.1728	0.2944	NA	0.0176	0.1124	NA	NA	0.2176	0.2688	0.028	0.1204	0.0448	0.0516	0.3284
60	0.1548	0.2184	NA	0.1464	0.1804	NA	0.1344	0.1324	0.0736	0.1888	0.2092	0.1804	0.0924	0.1724	0.1124	0.1708	NA	0.1776	0.2196	0.0816	0.2856	0.1824	0.064	0.0852	0.0716	0.1416	0.0948	0.1332	NA	0.116	0.1856	0.086	0.064	0.208	0.204	NA	0.1596	0.2456	NA	0.1244	NA	NA	0.224	NA	0.0856	0.0504	NA	0.2228	0.272	0.3568	NA	0.2824	NA	0.282	NA	0.2248	0.2172	0.2284	0.2412	0.0572	0.0948	0.3204	0.118	NA	NA	0.0776	NA	0.3208	NA	0.1428	NA	0.0548	NA	0.0332	0.1204	NA	0.0808	NA	0.148	0.078	0.184	0.1204	0.1424	0.258	0.216	0.268	0.1944	0.3484	NA	0.0216	0.1296	NA	NA	0.2732	0.3308	0.0336	0.136	0.046	0.06	0.3836
65	0.1628	0.2504	NA	0.1784	0.2064	NA	0.1544	0.1628	0.0884	0.2388	0.2536	0.2032	0.112	0.2148	0.1336	0.194	NA	0.2052	0.2516	0.0944	0.3364	0.21	0.0672	0.0944	0.074	0.158	0.0976	0.1568	NA	0.1464	0.2148	0.1008	0.0792	0.232	0.222	NA	0.1804	0.2792	NA	0.14	NA	NA	0.2472	NA	0.0896	0.0516	NA	0.2512	0.312	0.3948	NA	0.3248	NA	0.3188	NA	0.252	0.2444	0.2576	0.2796	NA	0.1128	0.3568	0.1288	NA	NA	0.096	NA	0.3724	NA	0.1684	NA	0.0596	NA	0.0392	0.1308	NA	0.102	NA	0.1832	0.1096	0.2188	0.1392	0.1672	0.2744	0.2444	0.3108	0.2092	0.3848	NA	0.0264	0.156	NA	NA	0.3284	0.398	0.0392	0.16	0.0464	0.072	0.4336
70	0.1716	0.3064	NA	0.2108	0.2336	NA	0.1692	0.198	0.1036	0.284	0.294	0.236	0.1328	0.2592	0.1608	0.22	NA	0.2292	0.284	0.1104	0.3772	0.2452	0.0716	0.1056	0.0756	0.1788	0.0992	0.1804	NA	0.1716	0.2384	0.1188	0.0948	0.2508	0.2364	NA	0.1992	0.3164	NA	0.1536	NA	NA	0.2696	NA	0.0912	0.0544	NA	0.2888	0.3552	0.4204	NA	0.3544	NA	0.3564	NA	0.2804	0.276	0.2856	0.3252	NA	0.1304	0.4012	0.1424	NA	NA	0.1112	NA	0.4164	NA	0.202	NA	0.0684	NA	0.0476	0.1472	NA	0.1192	NA	0.2268	0.1516	0.2544	0.1552	0.1864	0.2888	0.2724	0.352	0.2204	0.4176	NA	0.0316	0.178	NA	NA	0.3808	0.4532	0.0456	0.192	0.0484	0.0876	0.4756
75	0.1776	0.372	NA	0.2448	0.2636	NA	0.1908	0.226	0.122	0.3232	0.3492	0.2788	0.1568	0.3056	0.1976	0.2552	NA	0.2632	0.3292	0.1348	0.408	0.2852	0.0752	0.1244	NA	0.2084	0.1016	0.2028	NA	0.198	0.2604	0.1388	0.1064	0.2804	0.2544	NA	0.2236	0.3544	NA	0.1768	NA	NA	0.29	NA	0.092	0.0568	NA	0.3364	0.4068	0.4492	NA	0.3844	NA	0.3908	NA	0.3068	0.314	0.3088	0.3536	NA	0.1464	0.4332	0.1556	NA	NA	0.1264	NA	0.4696	NA	0.2292	NA	0.0836	NA	0.0588	0.1772	NA	0.1424	NA	0.2728	0.1944	0.2996	0.1748	0.2052	0.308	0.306	0.3856	0.2364	0.4452	NA	0.0408	0.1944	NA	NA	0.416	0.4928	0.0504	0.2224	0.05	0.1108	0.5152
80	0.1872	0.448	NA	0.2688	0.2936	NA	0.2204	0.2512	0.1436	0.366	0.406	0.3264	0.1856	0.3528	0.2264	0.278	NA	0.3036	0.3828	0.1656	0.4384	0.3272	0.0836	0.1508	NA	0.2476	0.106	0.2232	NA	0.2232	0.288	0.168	0.1228	0.312	0.2648	NA	0.2532	0.3872	NA	0.19	NA	NA	0.3148	NA	0.0928	0.0604	NA	0.3724	0.4596	0.4808	NA	0.418	NA	0.4288	NA	0.326	0.346	0.3292	0.386	NA	0.1632	0.466	0.1684	NA	NA	0.1468	NA	0.5176	NA	0.272	NA	0.1044	NA	0.0736	0.2004	NA	0.1732	NA	0.3316	0.2412	0.3416	0.2004	0.2212	0.3312	0.3288	0.4124	0.2564	0.4612	NA	0.0504	0.2096	NA	NA	0.4452	0.5224	0.058	0.2504	0.0524	0.1364	0.546
85	0.1952	0.5116	NA	0.282	0.3324	NA	0.2532	0.2716	0.1736	0.4076	0.4588	0.3668	0.2124	0.3856	0.2652	0.3	NA	0.3452	0.4212	0.2088	0.462	0.3716	0.0916	0.1844	NA	0.2768	0.1128	0.2352	NA	0.2492	0.314	0.19	0.146	0.344	0.2732	NA	0.286	0.4232	NA	0.2128	NA	NA	0.3368	NA	0.094	0.068	NA	0.4092	0.5092	0.5148	NA	0.4416	NA	0.4636	NA	0.3344	0.3748	0.35	0.422	NA	0.188	0.4848	0.1792	NA	NA	0.176	NA	0.548	NA	0.308	NA	0.1288	NA	0.0904	0.222	NA	0.2052	NA	0.388	0.2888	0.3856	0.2396	0.2376	0.3608	0.3588	0.438	0.2768	0.4796	NA	0.0652	0.232	NA	NA	0.4768	0.5428	0.0704	0.2768	0.0532	0.1628	0.5688
90	0.2084	0.55	NA	0.2888	0.3676	NA	0.2916	0.3024	0.2108	0.4484	0.5116	0.4036	0.2428	0.42	0.2972	0.3176	NA	0.398	0.4508	0.2504	0.4784	0.4328	0.0996	0.2216	NA	0.3088	0.1192	0.2524	NA	0.2924	0.3392	0.208	0.172	0.3748	0.278	NA	0.3072	0.4656	NA	0.2408	NA	NA	0.3616	NA	0.0964	0.0792	NA	0.4424	0.556	0.5492	NA	0.4572	NA	0.5012	NA	0.3388	0.418	0.3716	0.456	NA	0.2232	0.504	0.194	NA	NA	0.2092	NA	0.57	NA	0.3412	NA	0.1556	NA	0.1116	0.252	NA	0.2392	NA	0.438	0.3348	0.4396	0.2816	0.256	0.394	0.3984	0.4588	0.2984	0.492	NA	0.0792	0.252	NA	NA	0.51	0.5624	0.0812	0.3048	0.0552	0.1872	0.5872
95	0.2176	0.5812	NA	0.2948	0.3916	NA	0.3244	0.3376	0.2496	0.4788	0.5484	0.4392	0.2716	0.4536	0.332	0.3436	NA	0.4528	0.476	0.2816	0.4968	0.4796	0.106	0.256	NA	0.3488	0.1244	0.266	NA	0.3212	0.3656	0.228	0.2064	0.4012	0.2868	NA	0.326	0.5112	NA	0.2688	NA	NA	0.3884	NA	0.1048	0.0896	NA	0.47	0.5896	0.576	NA	0.4772	NA	0.5296	NA	0.3432	0.4532	0.386	0.4852	NA	0.2728	0.5172	0.2076	NA	NA	0.2488	NA	0.5832	NA	0.3748	NA	0.1788	NA	0.1288	0.2832	NA	0.2728	NA	0.4728	0.3768	0.4948	0.3236	0.2764	0.4248	0.4436	0.4772	0.3228	0.4996	NA	0.0948	0.272	NA	NA	0.5372	0.5792	0.0992	0.3376	0.0592	0.2192	0.6044
100	0.2256	0.598	NA	0.3044	0.4192	NA	0.3576	0.3684	0.2868	0.502	0.5776	0.4684	0.2876	0.4884	0.3772	0.366	NA	0.5024	0.5	0.3136	0.5116	0.5148	0.1172	0.278	NA	0.3956	0.1308	0.2744	NA	0.3536	0.3888	0.248	0.238	0.4208	0.2948	NA	0.3488	0.5516	NA	0.2952	NA	NA	0.4112	NA	0.1104	0.1072	NA	0.4948	0.6084	0.5932	NA	0.5004	NA	0.558	NA	0.35	0.4812	0.3952	0.5064	NA	0.3208	0.5308	0.2248	NA	NA	0.29	NA	0.5892	NA	0.4172	NA	0.2036	NA	0.1488	0.3048	NA	0.2936	NA	0.494	0.4176	0.5328	0.3712	0.2916	0.4636	0.4768	0.4944	0.3488	0.5064	NA	0.1104	0.2916	NA	NA	0.562	0.5936	0.12	0.3656	0.062	0.2508	0.6132
105	0.232	0.6068	NA	0.3104	0.44	NA	0.3916	0.3924	0.3324	0.5344	0.604	0.496	0.3104	0.5192	0.4124	0.3828	NA	0.5556	0.5232	0.34	0.532	0.5508	0.1268	0.3036	NA	0.4476	0.1444	0.2848	NA	0.376	0.4204	0.2668	0.2708	0.4412	0.308	NA	0.3752	0.5812	NA	0.3184	NA	NA	0.4244	NA	0.1168	0.1272	NA	0.5124	0.6144	0.6052	NA	0.5312	NA	0.5812	NA	0.3548	0.5024	0.3988	0.5224	NA	0.3688	0.546	0.246	NA	NA	0.3324	NA	0.5976	NA	0.4392	NA	0.2424	NA	0.168	0.3304	NA	0.3128	NA	0.5188	0.4484	0.5596	0.4192	0.3088	0.5004	0.506	0.5088	0.3792	0.51	NA	0.12	0.3168	NA	NA	0.5752	0.6028	0.1492	0.3892	0.068	0.2736	0.6188
110	0.2432	0.6124	NA	0.3124	0.4592	NA	0.4188	0.4128	0.362	0.56	0.62	0.5172	0.3388	0.5376	0.4436	0.3968	NA	0.5844	0.5484	0.3772	0.5512	0.578	0.144	0.338	NA	0.4928	0.1552	0.3012	NA	0.4032	0.458	0.2888	0.3064	0.4588	0.322	NA	0.4076	0.5964	NA	0.3428	NA	NA	0.4404	NA	0.1232	0.1476	NA	0.5304	0.6188	0.6108	NA	0.56	NA	0.602	NA	0.3596	0.5172	0.4032	0.5412	NA	0.4104	0.5616	0.2748	NA	NA	0.3728	NA	0.6064	NA	0.4492	NA	0.2808	NA	0.194	0.354	NA	0.3352	NA	0.5384	0.4772	0.5696	0.4672	0.3376	0.5408	0.5172	0.5228	0.4092	0.5112	NA	0.136	0.3384	NA	NA	0.5812	0.6108	0.182	0.4216	0.0728	0.2996	0.6224
115	0.2536	0.6156	NA	0.3136	0.4728	NA	0.4472	0.4268	0.3864	0.582	0.63	0.5316	0.364	0.5536	0.4728	0.4156	NA	0.6164	0.5624	0.4108	0.5652	0.5872	0.166	0.3644	NA	0.5252	0.1672	0.3308	NA	0.424	0.4988	0.3084	0.3372	0.476	0.3348	NA	0.4356	0.6108	NA	0.3584	NA	NA	0.4556	NA	0.1256	0.1628	NA	0.55	0.6224	0.6128	NA	0.586	NA	0.616	NA	0.362	0.534	0.4048	0.5564	NA	0.448	0.5764	0.3056	NA	NA	0.4104	NA	0.6108	NA	0.4632	NA	0.3188	NA	0.212	0.3712	NA	0.3536	NA	0.56	0.4972	0.5728	0.5008	0.3616	0.5724	0.5288	0.5348	0.4268	NA	NA	0.1516	0.366	NA	NA	NA	0.6172	0.2188	0.4528	0.078	0.3212	0.6244
120	0.2644	0.6196	NA	0.3172	0.48	NA	0.4688	0.4424	0.4072	0.5932	0.6392	0.5424	0.3796	0.5648	0.4916	0.4296	NA	0.6352	0.58	0.4304	0.582	0.5984	0.1912	0.3932	NA	0.5532	0.1828	0.3624	NA	0.4356	0.5396	0.3284	0.3712	0.4892	0.348	NA	0.4712	0.6188	NA	0.3764	NA	NA	0.4696	NA	0.1276	0.1832	NA	0.5604	0.6264	0.616	NA	0.6084	NA	0.6268	NA	0.3624	0.5516	0.4052	0.5708	NA	0.48	0.5884	0.338	NA	NA	0.446	NA	0.6156	NA	0.4764	NA	0.3652	NA	0.23	0.3924	NA	0.3684	NA	0.5768	0.5096	0.58	0.5292	0.3836	0.5936	0.5376	0.544	0.4496	NA	NA	0.1632	0.3992	NA	NA	NA	0.626	0.2488	0.488	0.0836	0.3392	0.6268
125	0.2752	NA	NA	0.3196	0.4884	NA	0.4852	0.4584	0.426	0.604	0.6504	0.5496	0.398	0.5724	0.5104	0.4464	NA	0.6428	0.596	0.4416	0.5908	0.6064	0.2164	0.4168	NA	0.568	0.2072	0.3928	NA	0.4428	0.5644	0.3452	0.4024	0.5012	0.3632	NA	0.5024	0.6248	NA	0.3956	NA	NA	0.4824	NA	0.132	0.1944	NA	0.5696	0.6288	0.6184	NA	0.6288	NA	0.6336	NA	NA	0.5604	NA	0.58	NA	0.5056	0.5984	0.3716	NA	NA	0.47	NA	0.6196	NA	0.488	NA	0.4092	NA	0.254	0.4048	NA	0.3784	NA	0.5876	0.5228	0.5872	0.5468	0.4016	0.6088	0.5448	0.5572	0.4684	NA	NA	0.176	0.428	NA	NA	NA	0.6384	0.2708	0.518	0.0888	0.3576	0.6304
130	0.2888	NA	NA	0.3228	0.4956	NA	0.5036	0.482	0.4396	0.612	0.6584	0.5524	0.4064	0.5792	0.522	0.4592	NA	0.6488	0.6128	0.4528	0.5976	0.6148	0.236	0.44	NA	0.5784	0.2348	0.4184	NA	0.4528	0.5824	0.3592	0.4336	0.5168	0.3792	NA	0.5252	0.6296	NA	0.4136	NA	NA	0.492	NA	0.1344	0.2064	NA	0.5788	0.6316	NA	NA	0.6404	NA	0.6396	NA	NA	0.5688	NA	0.5888	NA	0.532	0.6076	0.4044	NA	NA	0.4904	NA	0.6236	NA	0.4944	NA	0.4496	NA	0.2748	0.4168	NA	0.3896	NA	0.5936	0.5336	0.5952	0.5616	0.4188	0.6156	0.5504	0.5728	0.486	NA	NA	0.1908	0.4512	NA	NA	NA	0.6468	0.2924	0.5428	0.0916	0.3816	0.6336
135	0.2992	NA	NA	0.324	0.5	NA	0.518	0.5092	0.4552	0.6188	0.6636	0.558	0.4128	0.5844	0.5408	0.4668	NA	0.65	0.6208	0.462	0.6	0.6216	0.2604	0.4632	NA	0.5856	0.2564	0.4428	NA	0.4604	0.5936	0.3764	0.4644	0.5392	0.3992	NA	0.542	0.6356	NA	0.4292	NA	NA	0.5	NA	0.136	0.2204	NA	0.584	0.634	NA	NA	0.6472	NA	0.6412	NA	NA	0.5744	NA	0.5976	NA	0.5456	0.6132	0.4312	NA	NA	0.5124	NA	0.6268	NA	0.5032	NA	0.4832	NA	0.2928	0.424	NA	0.406	NA	0.5976	0.548	0.5992	0.5708	0.4448	0.6212	0.554	0.5868	0.5044	NA	NA	0.202	0.4676	NA	NA	NA	0.6516	0.3132	0.5588	0.0948	0.4116	0.634
