0	2	1	2	1	2	1	1	2	2	2	2	2	2	1	2	1	3	3	2	1	2	2	1	1	1	1	2	1	1	2	3	3	2	1	1	1	3	2	2	1	3	1	1	4	1	1	2	1	1	2	2	3	2	3	1	2	2	3	1	2	2	2	2	4	2	1	1	2	1	2	1	3	1	1	2	2	2	3	1	2	3	2	1	2	1	2	1	1	3	2	1	1	3	1	2	1	1	2	2	1
5	10	6	6	6	9	6	8	3	6	13	15	13	4	2	13	11	10	3	9	6	11	10	6	16	8	9	3	2	4	7	0	9	20	5	0	9	9	13	17	4	13	10	3	2	1	10	9	16	4	2	3	9	2	8	1	3	3	7	7	5	5	12	2	12	9	3	2	9	11	5	6	8	3	1	11	6	8	5	3	2	2	6	4	4	5	8	4	4	13	15	3	6	9	5	4	6	5	11	2	6
10	9	8	7	8	9	16	10	3	11	20	12	9	7	1	22	9	13	5	17	10	18	10	1	43	15	20	7	4	5	8	NA	19	22	11	NA	17	17	20	35	16	17	16	6	11	NA	10	11	22	5	14	4	29	9	10	3	2	6	15	20	13	12	9	5	22	15	NA	2	12	16	11	13	12	12	NA	8	18	11	9	5	8	1	15	17	2	7	9	9	4	13	18	13	10	11	3	5	8	4	21	9	11
15	5	12	13	13	23	7	4	2	15	33	19	2	9	NA	6	13	24	5	24	26	17	22	NA	57	15	27	8	8	5	5	NA	23	29	13	NA	16	16	25	55	24	18	22	9	13	NA	6	15	28	7	6	5	61	16	19	4	1	4	22	31	15	12	10	12	25	21	NA	1	5	10	11	24	23	16	NA	18	14	20	5	6	17	2	14	18	8	19	15	3	6	14	17	21	15	13	1	8	21	4	28	10	10
20	11	18	13	18	20	8	1	4	28	44	30	7	10	NA	7	25	20	8	35	55	22	29	NA	71	11	30	14	14	NA	1	NA	31	38	7	NA	13	17	48	75	28	30	31	21	11	NA	10	24	52	16	5	6	86	23	20	0	NA	9	12	39	13	32	19	14	23	29	NA	NA	6	12	1	22	39	12	NA	20	19	12	0	11	17	3	13	29	10	29	16	3	19	12	13	13	11	20	1	15	32	10	34	12	3
25	2	22	19	21	29	3	4	7	17	44	37	11	21	NA	3	32	17	8	30	81	33	34	NA	87	15	40	22	20	NA	NA	NA	30	27	11	NA	25	29	67	65	38	34	36	15	20	NA	10	32	40	8	7	12	92	16	21	NA	NA	23	17	43	9	23	22	12	40	37	NA	NA	8	9	5	23	42	26	NA	21	22	13	NA	13	20	5	17	48	10	17	14	3	32	10	14	25	10	33	5	15	39	5	28	16	4
30	6	24	28	22	31	NA	3	4	46	70	52	13	31	NA	6	33	24	18	58	84	34	21	NA	110	15	38	28	21	NA	NA	NA	24	16	12	NA	23	21	72	86	27	47	32	15	29	NA	6	35	38	3	9	23	108	21	27	NA	NA	29	30	47	18	35	26	19	40	42	NA	NA	8	9	7	39	30	31	NA	21	29	15	NA	13	25	5	25	48	11	22	16	6	32	20	24	38	13	33	11	7	36	3	32	10	5
35	5	25	20	28	52	NA	6	7	75	111	68	12	41	NA	10	21	19	13	65	104	30	25	NA	124	15	37	25	20	NA	NA	NA	33	31	15	NA	28	21	72	96	34	52	27	5	29	NA	NA	30	36	9	9	23	100	21	14	NA	NA	44	24	51	17	24	26	23	56	51	NA	NA	13	9	9	63	19	48	NA	25	20	20	NA	13	32	6	23	65	8	21	7	9	39	21	22	59	13	49	10	17	66	2	48	17	5
40	8	33	40	41	72	NA	8	2	101	132	65	18	49	NA	11	36	16	18	66	108	55	24	NA	123	22	21	37	34	NA	NA	NA	40	41	12	NA	41	7	74	121	45	57	30	8	20	NA	NA	50	48	14	8	16	95	33	11	NA	NA	55	31	53	13	34	32	37	53	60	NA	NA	18	4	20	81	18	57	NA	20	21	25	NA	19	36	8	28	70	7	23	11	21	49	29	23	54	17	56	13	11	53	NA	36	23	10
45	12	26	32	49	96	NA	9	NA	117	154	89	14	25	NA	14	44	12	19	82	110	41	21	NA	130	18	17	55	26	NA	NA	NA	29	46	22	NA	48	13	76	135	42	88	57	13	32	NA	NA	52	56	18	16	20	141	36	12	NA	NA	73	41	73	28	64	35	47	76	83	NA	NA	23	6	37	81	23	68	NA	21	27	14	NA	31	22	16	23	93	3	40	27	24	63	33	27	66	25	77	23	2	50	NA	63	29	13
50	2	18	27	38	116	NA	25	NA	123	169	100	11	33	NA	16	50	17	30	78	121	61	37	NA	163	22	25	72	26	NA	NA	NA	42	62	14	NA	62	22	93	156	62	68	97	8	20	NA	NA	29	80	22	25	8	136	38	13	NA	NA	85	46	73	32	106	40	32	95	128	NA	NA	36	11	40	87	34	87	NA	30	23	5	NA	32	35	9	41	109	0	31	27	18	81	25	37	83	23	106	22	1	69	NA	73	31	18
55	2	25	30	46	109	NA	29	NA	137	199	103	12	39	NA	21	48	18	50	76	143	59	39	NA	229	27	22	96	39	NA	NA	NA	63	73	29	NA	64	28	132	177	50	71	89	9	24	NA	NA	34	66	15	40	9	151	34	13	NA	NA	99	34	105	55	107	45	36	106	131	NA	NA	51	22	44	131	42	87	NA	38	33	3	NA	42	52	11	28	132	NA	35	27	33	88	14	37	117	29	143	37	NA	71	NA	99	36	14
60	11	23	37	45	154	NA	23	NA	154	203	95	27	57	NA	20	61	10	58	95	143	73	57	NA	244	30	25	73	40	NA	NA	NA	53	73	25	NA	85	41	133	210	59	70	130	13	31	NA	NA	64	92	19	69	9	170	37	18	NA	NA	133	42	126	62	126	40	59	94	156	NA	NA	68	23	44	138	45	109	NA	55	35	0	NA	57	56	12	36	160	NA	24	43	34	123	27	54	109	25	118	51	NA	69	NA	145	78	24
65	14	17	47	45	167	NA	16	NA	227	242	114	35	69	NA	22	67	20	46	94	192	91	70	NA	314	42	27	79	29	NA	NA	NA	85	69	18	NA	100	52	132	205	55	85	165	20	43	NA	NA	62	102	34	72	5	190	38	16	NA	NA	142	52	115	79	149	62	61	110	177	NA	NA	101	25	51	144	68	108	NA	67	52	NA	NA	70	63	15	35	160	NA	30	38	41	145	25	65	131	36	144	52	NA	79	NA	152	70	22
70	8	21	52	44	211	NA	17	NA	223	252	131	36	78	NA	43	72	32	47	111	201	90	72	NA	314	52	18	91	33	NA	NA	NA	83	84	23	NA	107	83	143	205	65	115	233	30	42	NA	NA	71	111	42	62	4	222	51	11	NA	NA	193	54	140	89	161	88	84	163	228	NA	NA	112	41	69	162	86	150	NA	99	77	NA	NA	100	58	15	22	229	NA	54	35	33	148	48	64	170	26	140	48	NA	122	NA	152	67	22
75	14	23	80	35	199	NA	27	NA	244	332	149	28	78	NA	60	82	38	61	159	243	120	101	NA	367	91	14	109	40	NA	NA	NA	96	78	12	NA	124	97	196	232	58	136	219	38	70	NA	NA	97	115	51	88	4	259	56	8	NA	NA	211	79	139	102	214	84	84	216	260	NA	NA	139	67	61	187	108	143	NA	107	95	NA	NA	119	81	30	46	266	NA	51	28	26	183	41	54	169	17	159	59	NA	121	NA	176	87	28
80	16	29	95	45	214	NA	49	NA	306	320	163	37	102	NA	49	81	62	51	151	357	138	98	NA	409	112	20	119	33	NA	NA	NA	107	119	15	NA	119	100	227	238	63	123	259	39	90	NA	NA	94	126	94	107	14	304	54	7	NA	NA	243	90	154	124	221	100	95	275	307	NA	NA	168	82	57	242	157	192	NA	139	101	NA	NA	142	78	42	55	290	NA	50	21	25	207	54	52	168	24	164	67	NA	143	NA	252	115	19
85	17	46	95	56	208	NA	70	NA	304	321	158	29	123	NA	90	98	57	61	124	438	149	95	NA	476	124	16	130	45	NA	NA	NA	136	151	17	NA	124	111	249	305	91	145	358	39	114	NA	NA	111	134	69	121	21	412	57	5	NA	NA	294	75	177	145	273	103	109	346	335	NA	NA	205	87	68	235	165	230	NA	189	102	NA	NA	152	84	58	77	321	NA	63	21	33	241	67	83	191	48	190	78	NA	162	NA	266	127	21
90	17	49	87	60	244	NA	125	NA	301	325	165	22	141	NA	95	93	59	74	128	532	171	100	NA	585	158	28	130	66	NA	NA	NA	124	179	28	NA	145	121	267	374	125	166	439	44	154	NA	NA	119	152	91	153	34	458	62	6	NA	NA	304	101	209	146	278	129	116	359	367	NA	NA	221	108	60	245	161	233	NA	223	127	NA	NA	168	118	75	112	458	NA	72	13	30	276	56	121	224	47	191	67	NA	214	NA	298	130	22
95	26	61	97	87	251	NA	107	NA	341	380	156	18	185	NA	113	118	81	72	182	584	159	121	NA	600	200	34	173	64	NA	NA	NA	158	185	25	NA	168	167	324	436	132	166	466	37	195	NA	NA	172	169	94	185	37	535	67	7	NA	NA	297	84	209	215	328	152	162	349	437	NA	NA	303	119	80	269	209	235	NA	256	144	NA	NA	198	171	87	100	480	NA	75	17	51	297	59	125	262	56	270	64	NA	230	NA	358	152	24
100	25	90	131	95	288	NA	127	NA	462	371	215	17	197	NA	143	131	74	96	201	593	174	152	NA	680	250	38	215	70	NA	NA	NA	206	241	36	NA	171	209	418	459	143	199	484	33	215	NA	NA	201	212	87	238	44	601	89	5	NA	NA	356	116	214	236	371	145	193	392	470	NA	NA	353	126	94	327	278	274	NA	304	137	NA	NA	234	192	78	91	498	NA	108	24	63	359	81	137	312	64	298	51	NA	280	NA	358	190	29
105	38	99	184	100	303	NA	132	NA	500	472	237	22	223	NA	204	158	98	116	205	555	230	164	NA	810	301	25	215	96	NA	NA	NA	253	291	38	NA	186	221	397	441	155	259	548	32	260	NA	NA	233	253	122	281	42	674	87	7	NA	NA	427	138	265	254	368	188	233	420	509	NA	NA	422	146	91	346	346	341	NA	380	131	NA	NA	258	228	103	89	570	NA	116	36	102	400	81	176	309	67	361	60	NA	350	NA	407	257	48
110	37	124	186	107	329	NA	169	NA	495	577	245	10	263	NA	189	208	104	148	281	645	249	186	NA	912	359	25	181	80	NA	NA	NA	249	307	60	NA	229	201	422	481	159	291	636	43	335	NA	NA	247	305	139	287	62	723	120	8	NA	NA	489	178	305	291	429	190	311	523	600	NA	NA	496	202	103	392	336	383	NA	460	136	NA	NA	247	256	109	117	591	NA	145	32	100	355	72	249	321	73	400	70	NA	426	NA	443	321	76
115	34	132	201	147	368	NA	187	NA	528	666	298	10	364	NA	232	235	128	160	295	654	238	234	NA	911	392	28	207	65	NA	NA	NA	289	296	57	NA	242	178	486	611	187	365	715	55	367	NA	NA	278	360	147	342	67	752	173	2	NA	NA	490	169	336	289	515	216	379	520	647	NA	NA	485	206	110	441	344	466	NA	472	139	NA	NA	275	256	136	123	691	NA	196	33	114	410	94	283	419	77	454	83	NA	548	NA	471	308	125
120	27	161	271	169	432	NA	212	NA	648	632	397	7	379	NA	230	256	184	198	307	678	291	244	NA	913	448	38	231	95	NA	NA	NA	310	331	52	NA	231	212	548	634	193	435	780	54	413	NA	NA	301	447	168	371	70	747	220	8	NA	NA	514	219	406	314	560	211	410	609	725	NA	NA	524	257	153	482	356	539	NA	487	139	NA	NA	281	299	144	169	692	NA	230	64	145	424	117	337	470	137	455	110	NA	615	NA	528	421	133
125	29	210	282	255	477	NA	216	NA	804	607	509	6	422	NA	257	285	229	179	428	684	308	265	NA	936	444	38	269	117	NA	NA	NA	382	287	57	NA	298	288	594	655	210	473	893	50	464	NA	NA	376	479	254	408	73	801	244	15	NA	NA	599	296	522	392	601	257	417	685	778	NA	NA	584	289	180	580	432	536	NA	558	158	NA	NA	335	345	220	221	753	NA	280	61	158	460	152	371	535	151	472	123	NA	600	NA	531	419	165
130	38	260	381	281	498	NA	228	NA	894	668	524	12	456	NA	323	337	267	224	460	712	311	289	NA	1009	525	32	310	116	NA	NA	NA	428	374	82	NA	344	347	737	657	221	519	909	59	534	NA	NA	431	535	250	493	89	783	363	8	NA	NA	630	412	532	447	655	310	461	721	814	NA	NA	680	357	185	680	478	662	NA	625	155	NA	NA	436	406	204	215	737	NA	352	55	172	460	176	377	579	174	540	123	NA	660	NA	555	472	194
135	43	253	450	231	578	NA	303	NA	864	709	630	3	593	NA	376	331	293	260	509	799	320	332	NA	1066	553	51	372	98	NA	NA	NA	479	360	73	NA	379	482	738	677	245	463	1012	64	644	NA	NA	464	597	200	520	102	770	400	8	NA	NA	695	495	614	541	736	365	539	721	932	NA	NA	750	426	188	786	551	695	NA	676	153	NA	NA	468	474	227	241	730	NA	406	68	198	533	210	435	676	205	539	160	NA	768	NA	658	549	212
140	78	279	484	257	616	NA	312	NA	896	714	593	1	577	NA	371	376	278	301	559	883	396	350	NA	1016	620	93	450	85	NA	NA	NA	537	399	92	NA	375	485	782	742	271	511	1094	71	704	NA	NA	559	630	271	564	80	905	429	3	NA	NA	780	570	684	626	716	402	559	764	883	NA	NA	836	419	226	850	572	768	NA	686	172	NA	NA	587	540	274	262	834	NA	450	70	256	607	274	474	690	215	650	233	NA	760	NA	727	568	234
145	104	401	581	316	613	NA	346	NA	955	704	577	3	550	NA	419	354	288	363	650	1000	392	466	NA	967	628	75	505	84	NA	NA	NA	600	439	92	NA	460	518	833	778	369	607	970	47	792	NA	NA	642	683	282	667	112	851	440	3	NA	NA	780	683	706	718	737	448	593	704	854	NA	NA	968	448	229	907	721	895	NA	737	205	NA	NA	636	633	296	312	839	NA	484	82	288	645	303	497	679	241	705	274	NA	875	NA	776	601	274
