0	2	2	4	3	2	2	4	1	4	1	2	2	4	3	2	2	4	1	4	1
5	52	41	37	41	33	55	60	37	65	21	52	41	37	41	33	55	60	37	65	21
10	122	95	82	118	118	161	141	149	130	123	122	95	82	118	118	161	141	149	130	123
15	207	230	218	294	252	212	242	215	339	210	207	230	218	294	252	212	242	215	339	210
20	353	282	372	256	316	294	419	299	426	324	353	282	372	256	316	294	419	299	426	324
25	347	451	398	639	392	564	570	825	510	394	347	451	398	639	392	564	570	825	510	394
30	2159	246	947	838	1010	1792	1211	885	542	522	2159	246	947	838	1010	1792	1211	885	542	522
35	27760	1424	4574	7883	2154	20328	1423	4837	2459	1797	27760	1424	4574	7883	2154	20328	1423	4837	2459	1797
40	49858	6607	31262	25009	22223	46977	22956	36647	21057	4368	49858	6607	31262	25009	22223	46977	22956	36647	21057	4368
45	40932	37259	49890	48227	47651	44282	49601	51526	43934	32856	40932	37259	49890	48227	47651	44282	49601	51526	43934	32856
50	1147	50525	36661	39161	45241	955	41236	26314	44967	50286	1147	50525	36661	39161	45241	955	41236	26314	44967	50286
55	116	24650	892	2072	1541	161	1325	389	9063	33126	116	24650	892	2072	1541	161	1325	389	9063	33126
60	10	586	170	140	255	9	189	105	171	922	10	586	170	140	255	9	189	105	171	922
65	NA	138	93	11	26	NA	35	8	16	150	NA	138	93	11	26	NA	35	8	16	150
70	NA	15	2	0	NA	NA	0	NA	0	18	NA	15	2	0	NA	NA	0	NA	0	18
75	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
