0	2	2	3	3	1	2	3	3	1	3	2	2	3	3	1	2	3	3	1	3
5	26	22	22	28	26	26	19	17	15	33	26	22	22	28	26	26	19	17	15	33
10	41	58	33	75	67	64	24	49	45	54	41	58	33	75	67	64	24	49	45	54
15	55	50	32	88	61	29	93	75	35	107	55	50	32	88	61	29	93	75	35	107
20	74	69	63	83	85	56	94	67	56	102	74	69	63	83	85	56	94	67	56	102
25	150	188	61	140	77	90	124	147	121	73	150	188	61	140	77	90	124	147	121	73
30	122	106	63	126	117	130	229	109	198	113	122	106	63	126	117	130	229	109	198	113
35	111	166	138	246	114	146	178	187	161	273	111	166	138	246	114	146	178	187	161	273
40	228	147	197	182	102	180	282	252	225	191	228	147	197	182	102	180	282	252	225	191
45	251	132	187	580	158	355	185	229	330	414	251	132	187	580	158	355	185	229	330	414
50	351	181	391	436	177	215	319	645	388	770	351	181	391	436	177	215	319	645	388	770
55	491	182	275	2818	515	701	1299	790	909	5441	491	182	275	2818	515	701	1299	790	909	5441
60	1424	253	667	14230	761	4580	6047	9654	3583	17046	1424	253	667	14230	761	4580	6047	9654	3583	17046
65	3420	892	5260	3297	1571	12644	17283	2753	5036	2137	3420	892	5260	3297	1571	12644	17283	2753	5036	2137
70	15123	1887	14023	979	11975	3857	6152	5590	5042	1384	15123	1887	14023	979	11975	3857	6152	5590	5042	1384
75	1923	4590	7151	221	3254	589	411	350	639	336	1923	4590	7151	221	3254	589	411	350	639	336
80	555	10173	756	81	644	272	181	189	572	98	555	10173	756	81	644	272	181	189	572	98
85	128	1309	367	33	286	146	177	58	243	9	128	1309	367	33	286	146	177	58	243	9
90	139	244	67	1	70	11	28	10	68	1	139	244	67	1	70	11	28	10	68	1
95	8	128	13	NA	21	0	1	1	6	NA	8	128	13	NA	21	0	1	1	6	NA
100	0	29	1	NA	4	NA	NA	NA	1	NA	0	29	1	NA	4	NA	NA	NA	1	NA
105	NA	1	NA	NA	0	NA	NA	NA	NA	NA	NA	1	NA	NA	0	NA	NA	NA	NA	NA
