0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	2	2	4	1	2	2	1	1	1	1	2	2	4	1	2	2	1	1	1
10	8	4	4	5	3	14	4	4	5	4	8	4	4	5	3	14	4	4	5	4
15	7	14	8	9	4	16	10	7	20	7	7	14	8	9	4	16	10	7	20	7
20	16	16	20	12	13	34	18	21	26	11	16	16	20	12	13	34	18	21	26	11
25	13	41	53	29	17	57	24	43	33	20	13	41	53	29	17	57	24	43	33	20
30	16	55	64	43	23	117	62	68	97	37	16	55	64	43	23	117	62	68	97	37
35	32	127	117	63	49	233	119	106	170	79	32	127	117	63	49	233	119	106	170	79
40	47	222	185	133	86	384	218	190	296	110	47	222	185	133	86	384	218	190	296	110
45	54	359	292	216	143	700	315	346	529	199	54	359	292	216	143	700	315	346	529	199
50	92	662	495	359	248	1108	599	570	871	333	92	662	495	359	248	1108	599	570	871	333
55	165	1106	769	599	410	1700	1037	938	1378	560	165	1106	769	599	410	1700	1037	938	1378	560
60	303	1683	1246	960	757	2452	1586	1359	1998	848	303	1683	1246	960	757	2452	1586	1359	1998	848
65	544	2302	1821	1404	1182	2924	2281	2088	2527	1382	544	2302	1821	1404	1182	2924	2281	2088	2527	1382
70	894	2869	2591	2113	1747	3183	2834	2733	3119	2002	894	2869	2591	2113	1747	3183	2834	2733	3119	2002
75	1416	3123	3095	2732	2489	2720	3141	3090	2990	2626	1416	3123	3095	2732	2489	2720	3141	3090	2990	2626
80	2081	2883	3208	3124	3064	1985	3001	2991	2470	3132	2081	2883	3208	3124	3064	1985	3001	2991	2470	3132
85	2803	2041	2546	3017	3139	1079	2025	2401	1491	2855	2803	2041	2546	3017	3139	1079	2025	2401	1491	2855
90	3156	1083	1633	2359	2675	431	1236	1378	738	2456	3156	1083	1633	2359	2675	431	1236	1378	738	2456
95	3038	426	736	1281	1862	110	476	557	198	1440	3038	426	736	1281	1862	110	476	557	198	1440
100	2284	122	226	568	912	12	138	134	41	708	2284	122	226	568	912	12	138	134	41	708
105	1394	16	50	162	321	2	25	17	5	241	1394	16	50	162	321	2	25	17	5	241
110	590	3	4	39	81	NA	4	2	NA	64	590	3	4	39	81	NA	4	2	NA	64
115	187	1	1	7	16	NA	1	1	NA	7	187	1	1	7	16	NA	1	1	NA	7
120	24	NA	NA	1	0	NA	NA	NA	NA	NA	24	NA	NA	1	0	NA	NA	NA	NA	NA
125	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
