0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	2	2	1	1	4	2	4	2	1	2	2	2	1	1	4	2	4	2	1	2
10	8	6	6	7	11	7	3	6	7	6	8	6	6	7	11	7	3	6	7	6
15	12	14	9	24	40	13	22	10	18	15	12	14	9	24	40	13	22	10	18	15
20	25	14	18	54	88	42	43	47	37	40	25	14	18	54	88	42	43	47	37	40
25	64	53	32	114	153	66	84	72	67	91	64	53	32	114	153	66	84	72	67	91
30	119	105	77	236	304	105	168	151	117	196	119	105	77	236	304	105	168	151	117	196
35	188	202	156	410	547	211	368	293	218	369	188	202	156	410	547	211	368	293	218	369
40	357	376	281	817	904	366	765	535	512	784	357	376	281	817	904	366	765	535	512	784
45	646	756	541	1356	1705	723	1333	955	932	1372	646	756	541	1356	1705	723	1333	955	932	1372
50	1129	1309	1006	2124	2530	1269	2120	1803	1571	2298	1129	1309	1006	2124	2530	1269	2120	1803	1571	2298
55	1861	2143	1785	2841	3132	2147	2977	2590	2562	3158	1861	2143	1785	2841	3132	2147	2977	2590	2562	3158
60	2844	2889	2660	3124	3170	2844	3274	3318	3096	3413	2844	2889	2660	3124	3170	2844	3274	3318	3096	3413
65	3211	3251	3368	2741	2147	3313	2712	3154	3209	2531	3211	3251	3368	2741	2147	3313	2712	3154	3209	2531
70	2882	2677	3141	1535	913	2776	1492	2017	2173	1277	2882	2677	3141	1535	913	2776	1492	2017	2173	1277
75	1786	1370	1968	436	249	1471	497	771	979	376	1786	1370	1968	436	249	1471	497	771	979	376
80	740	491	802	86	45	530	74	212	225	72	740	491	802	86	45	530	74	212	225	72
85	198	136	185	8	12	119	3	32	41	9	198	136	185	8	12	119	3	32	41	9
90	54	32	25	1	3	21	NA	0	3	0	54	32	25	1	3	21	NA	0	3	0
95	2	1	4	NA	NA	9	NA	NA	NA	NA	2	1	4	NA	NA	9	NA	NA	NA	NA
100	NA	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	0	NA	NA	1	NA	NA	NA	NA
