0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1
10	3	2	5	5	3	1	1	3	3	6	3	2	5	5	3	1	1	3	3	6
15	6	8	3	8	8	6	7	8	7	22	6	8	3	8	8	6	7	8	7	22
20	4	11	10	4	19	14	6	11	9	26	4	11	10	4	19	14	6	11	9	26
25	16	28	13	15	34	25	12	20	9	39	16	28	13	15	34	25	12	20	9	39
30	23	56	12	24	66	39	20	37	17	75	23	56	12	24	66	39	20	37	17	75
35	26	88	23	54	107	87	27	64	16	149	26	88	23	54	107	87	27	64	16	149
40	56	153	35	79	184	113	37	106	52	217	56	153	35	79	184	113	37	106	52	217
45	100	258	47	150	292	213	69	185	77	382	100	258	47	150	292	213	69	185	77	382
50	160	458	90	238	443	394	93	353	120	622	160	458	90	238	443	394	93	353	120	622
55	277	629	146	412	796	630	183	534	221	956	277	629	146	412	796	630	183	534	221	956
60	469	1114	249	692	1127	1077	301	908	339	1438	469	1114	249	692	1127	1077	301	908	339	1438
65	699	1488	452	1013	1585	1461	450	1286	539	1918	699	1488	452	1013	1585	1461	450	1286	539	1918
70	1045	2029	693	1542	2046	1970	754	1888	859	2300	1045	2029	693	1542	2046	1970	754	1888	859	2300
75	1520	2296	1106	1880	2389	2327	1141	2198	1291	2355	1520	2296	1106	1880	2389	2327	1141	2198	1291	2355
80	1946	2317	1545	2319	2337	2493	1662	2413	1842	2186	1946	2317	1545	2319	2337	2493	1662	2413	1842	2186
85	2327	1934	2054	2300	1950	2041	2032	2263	2254	1418	2327	1934	2054	2300	1950	2041	2032	2263	2254	1418
90	2342	1340	2358	1986	1200	1383	2396	1617	2357	752	2342	1340	2358	1986	1200	1383	2396	1617	2357	752
95	2042	540	2353	1302	400	692	2224	791	2191	268	2042	540	2353	1302	400	692	2224	791	2191	268
100	1323	171	1945	634	111	219	1847	319	1650	55	1323	171	1945	634	111	219	1847	319	1650	55
105	562	40	1202	228	16	39	1013	68	864	3	562	40	1202	228	16	39	1013	68	864	3
110	124	4	448	48	6	14	402	12	265	NA	124	4	448	48	6	14	402	12	265	NA
115	24	NA	147	6	0	1	93	0	63	NA	24	NA	147	6	0	1	93	0	63	NA
120	7	NA	18	1	NA	NA	13	NA	5	NA	7	NA	18	1	NA	NA	13	NA	5	NA
125	1	NA	4	NA	NA	NA	1	NA	1	NA	1	NA	4	NA	NA	NA	1	NA	1	NA
