0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	1	1	2	1	1	2	4	1	1	1	1	1	2	1	1	2	4	1	1
10	3	1	2	1	1	2	5	4	2	4	3	1	2	1	1	2	5	4	2	4
15	5	4	4	5	7	9	7	19	7	6	5	4	4	5	7	9	7	19	7	6
20	6	7	8	23	11	12	20	18	15	20	6	7	8	23	11	12	20	18	15	20
25	13	8	11	37	18	31	33	32	18	72	13	8	11	37	18	31	33	32	18	72
30	25	25	34	101	37	54	70	79	33	116	25	25	34	101	37	54	70	79	33	116
35	77	37	40	149	47	104	132	136	77	237	77	37	40	149	47	104	132	136	77	237
40	134	60	97	339	114	188	265	270	166	409	134	60	97	339	114	188	265	270	166	409
45	236	96	159	616	197	342	456	449	344	668	236	96	159	616	197	342	456	449	344	668
50	480	188	354	1012	399	668	749	761	545	1028	480	188	354	1012	399	668	749	761	545	1028
55	853	314	583	1378	657	1006	1075	1106	897	1433	853	314	583	1378	657	1006	1075	1106	897	1433
60	1152	583	922	1697	968	1361	1518	1501	1246	1726	1152	583	922	1697	968	1361	1518	1501	1246	1726
65	1605	914	1291	2027	1467	1736	1793	1886	1634	1967	1605	914	1291	2027	1467	1736	1793	1886	1634	1967
70	1843	1358	1711	1724	1724	1906	1970	1773	1964	1595	1843	1358	1711	1724	1724	1906	1970	1773	1964	1595
75	1801	1717	1967	1025	2115	1745	1516	1520	1836	846	1801	1717	1967	1025	2115	1745	1516	1520	1836	846
80	1361	1925	1709	341	1698	981	721	695	1095	245	1361	1925	1709	341	1698	981	721	695	1095	245
85	592	1708	1048	27	833	314	191	160	418	28	592	1708	1048	27	833	314	191	160	418	28
90	121	1029	275	3	228	61	34	17	73	3	121	1029	275	3	228	61	34	17	73	3
95	17	331	46	NA	32	0	2	1	12	NA	17	331	46	NA	32	0	2	1	12	NA
100	0	49	2	NA	3	NA	NA	NA	1	NA	0	49	2	NA	3	NA	NA	NA	1	NA
105	NA	3	NA	NA	0	NA	NA	NA	NA	NA	NA	3	NA	NA	0	NA	NA	NA	NA	NA
