0	1	1	1	1	2	1	2	2	2	2	1	1	1	1	2	1	2	2	2	2
5	1	4	3	12	14	8	7	13	4	12	1	4	3	12	14	8	7	13	4	12
10	6	8	11	21	26	24	13	12	7	15	6	8	11	21	26	24	13	12	7	15
15	14	17	17	30	27	50	17	22	3	31	14	17	17	30	27	50	17	22	3	31
20	26	23	27	32	48	45	18	36	2	50	26	23	27	32	48	45	18	36	2	50
25	53	33	63	42	62	69	28	69	1	49	53	33	63	42	62	69	28	69	1	49
30	66	28	95	36	46	99	38	84	NA	63	66	28	95	36	46	99	38	84	NA	63
35	101	34	125	49	56	133	60	114	NA	80	101	34	125	49	56	133	60	114	NA	80
40	133	50	172	77	106	149	81	112	NA	118	133	50	172	77	106	149	81	112	NA	118
45	192	72	209	123	143	208	102	156	NA	143	192	72	209	123	143	208	102	156	NA	143
50	242	93	284	167	238	244	154	171	NA	169	242	93	284	167	238	244	154	171	NA	169
55	378	121	406	213	287	290	183	244	NA	225	378	121	406	213	287	290	183	244	NA	225
60	461	138	604	263	325	368	226	301	NA	227	461	138	604	263	325	368	226	301	NA	227
65	594	198	839	343	440	446	296	392	NA	258	594	198	839	343	440	446	296	392	NA	258
70	735	272	1141	466	544	560	411	493	NA	331	735	272	1141	466	544	560	411	493	NA	331
75	993	375	1449	669	686	739	541	654	NA	420	993	375	1449	669	686	739	541	654	NA	420
80	1255	433	1847	834	894	933	755	809	NA	558	1255	433	1847	834	894	933	755	809	NA	558
85	1514	603	2145	1004	1138	1194	912	952	NA	708	1514	603	2145	1004	1138	1194	912	952	NA	708
90	1887	783	2675	1245	1564	1533	1188	1238	NA	867	1887	783	2675	1245	1564	1533	1188	1238	NA	867
95	2464	1066	3343	1566	2050	2016	1721	1531	NA	1114	2464	1066	3343	1566	2050	2016	1721	1531	NA	1114
100	3084	1355	4059	1926	2728	2583	2394	2008	NA	1467	3084	1355	4059	1926	2728	2583	2394	2008	NA	1467
105	3850	1694	4912	2325	3487	3419	3315	2542	NA	1896	3850	1694	4912	2325	3487	3419	3315	2542	NA	1896
110	4845	2143	5988	2880	4301	4356	4179	3336	NA	2380	4845	2143	5988	2880	4301	4356	4179	3336	NA	2380
115	5928	2774	7160	3882	5180	5386	5026	4098	NA	3078	5928	2774	7160	3882	5180	5386	5026	4098	NA	3078
120	7017	3348	8514	4645	6302	6707	6337	5043	NA	4053	7017	3348	8514	4645	6302	6707	6337	5043	NA	4053
125	8383	4092	9856	5803	7704	7918	7863	6252	NA	4892	8383	4092	9856	5803	7704	7918	7863	6252	NA	4892
130	9644	4989	10947	6854	9190	9228	9215	7662	NA	5867	9644	4989	10947	6854	9190	9228	9215	7662	NA	5867
135	10475	6052	11728	8074	10522	10341	10545	8856	NA	6827	10475	6052	11728	8074	10522	10341	10545	8856	NA	6827
140	11434	7091	11792	9624	11273	11463	11671	10156	NA	7999	11434	7091	11792	9624	11273	11463	11671	10156	NA	7999
145	11630	8143	11472	10766	11744	11887	12422	11011	NA	9192	11630	8143	11472	10766	11744	11887	12422	11011	NA	9192
150	11585	9331	10616	11630	11765	11772	12355	11512	NA	10106	11585	9331	10616	11630	11765	11772	12355	11512	NA	10106
