0	3	3	1	3	2	5	1	1	3	2	3	3	1	3	2	5	1	1	3	2
5	16	10	2	21	8	33	12	10	14	15	16	10	2	21	8	33	12	10	14	15
10	26	25	6	38	17	49	23	27	33	22	26	25	6	38	17	49	23	27	33	22
15	46	44	25	52	28	50	43	55	56	44	46	44	25	52	28	50	43	55	56	44
20	48	44	21	51	32	83	39	114	76	70	48	44	21	51	32	83	39	114	76	70
25	65	48	21	63	42	109	50	206	127	82	65	48	21	63	42	109	50	206	127	82
30	109	77	37	81	68	140	46	300	171	122	109	77	37	81	68	140	46	300	171	122
35	198	94	62	117	119	253	86	362	292	191	198	94	62	117	119	253	86	362	292	191
40	295	137	88	126	156	350	157	478	436	310	295	137	88	126	156	350	157	478	436	310
45	405	228	131	168	202	484	233	723	633	448	405	228	131	168	202	484	233	723	633	448
50	647	324	200	193	299	679	338	1008	826	573	647	324	200	193	299	679	338	1008	826	573
55	974	385	278	273	382	1002	435	1396	1346	851	974	385	278	273	382	1002	435	1396	1346	851
60	1426	525	408	468	434	1457	630	2035	1821	1352	1426	525	408	468	434	1457	630	2035	1821	1352
65	2027	766	550	778	681	2118	813	2775	2384	1826	2027	766	550	778	681	2118	813	2775	2384	1826
70	2809	1066	881	1202	977	2948	1019	3790	3381	2588	2809	1066	881	1202	977	2948	1019	3790	3381	2588
75	3768	1548	1206	1754	1390	4095	1322	5104	4681	3557	3768	1548	1206	1754	1390	4095	1322	5104	4681	3557
80	4924	2180	1732	2549	1977	5386	1992	6720	6145	4587	4924	2180	1732	2549	1977	5386	1992	6720	6145	4587
85	6382	3035	2468	3551	2756	7032	2804	8556	7990	6029	6382	3035	2468	3551	2756	7032	2804	8556	7990	6029
90	8005	4500	3462	4671	3793	8965	4060	10561	10171	7980	8005	4500	3462	4671	3793	8965	4060	10561	10171	7980
95	9910	6048	4815	6033	5006	11080	5353	12074	12153	10048	9910	6048	4815	6033	5006	11080	5353	12074	12153	10048
100	11382	7744	6616	7950	6590	12678	6753	13891	13922	12368	11382	7744	6616	7950	6590	12678	6753	13891	13922	12368
105	12775	9775	8308	9774	8624	13753	8680	14669	14569	13848	12775	9775	8308	9774	8624	13753	8680	14669	14569	13848
110	13366	11380	10178	11542	10379	13909	10614	13396	14209	14409	13366	11380	10178	11542	10379	13909	10614	13396	14209	14409
115	13044	13063	12199	12825	12048	12728	12361	10764	11874	13383	13044	13063	12199	12825	12048	12728	12361	10764	11874	13383
120	11693	13670	13415	13650	13434	10578	13464	7992	9172	11365	11693	13670	13415	13650	13434	10578	13464	7992	9172	11365
125	9281	13757	13655	13295	13379	7895	13892	5306	5870	8785	9281	13757	13655	13295	13379	7895	13892	5306	5870	8785
130	6882	12294	13162	12178	12677	5208	12397	3164	3656	6189	6882	12294	13162	12178	12677	5208	12397	3164	3656	6189
135	4243	9593	11586	9703	10498	3216	10056	1931	1958	3849	4243	9593	11586	9703	10498	3216	10056	1931	1958	3849
140	2414	7103	9215	6738	8175	1744	7937	985	906	2187	2414	7103	9215	6738	8175	1744	7937	985	906	2187
145	1306	4844	6341	4322	5726	948	5882	471	376	1106	1306	4844	6341	4322	5726	948	5882	471	376	1106
150	680	2885	3955	2595	4130	438	3856	194	197	616	680	2885	3955	2595	4130	438	3856	194	197	616
155	310	1633	2499	1416	2612	238	2182	114	97	375	310	1633	2499	1416	2612	238	2182	114	97	375
160	132	825	1451	763	1445	124	1252	97	42	226	132	825	1451	763	1445	124	1252	97	42	226
165	64	351	751	426	725	103	638	74	25	145	64	351	751	426	725	103	638	74	25	145
170	42	100	358	188	341	67	240	30	21	88	42	100	358	188	341	67	240	30	21	88
175	23	43	110	79	157	56	75	19	26	62	23	43	110	79	157	56	75	19	26	62
180	10	24	47	32	69	30	42	2	18	30	10	24	47	32	69	30	42	2	18	30
185	5	12	18	15	35	6	18	1	12	8	5	12	18	15	35	6	18	1	12	8
190	4	2	7	10	11	2	4	NA	4	0	4	2	7	10	11	2	4	NA	4	0
195	NA	NA	1	3	3	0	1	NA	NA	NA	NA	NA	1	3	3	0	1	NA	NA	NA
200	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA
