0	1	1	2	1	2	2	1	1	2	1	1	1	2	1	2	2	1	1	2	1
5	4	6	16	2	4	2	3	2	5	4	4	6	16	2	4	2	3	2	5	4
10	10	11	35	3	1	7	3	2	5	9	10	11	35	3	1	7	3	2	5	9
15	21	19	36	8	3	19	5	0	8	16	21	19	36	8	3	19	5	0	8	16
20	35	21	32	8	9	24	2	NA	20	20	35	21	32	8	9	24	2	NA	20	20
25	50	25	54	17	17	37	1	NA	41	21	50	25	54	17	17	37	1	NA	41	21
30	47	19	66	29	16	47	NA	NA	69	36	47	19	66	29	16	47	NA	NA	69	36
35	65	26	98	18	13	67	NA	NA	90	41	65	26	98	18	13	67	NA	NA	90	41
40	82	52	128	16	15	64	NA	NA	135	66	82	52	128	16	15	64	NA	NA	135	66
45	111	65	133	33	16	96	NA	NA	176	83	111	65	133	33	16	96	NA	NA	176	83
50	100	93	178	31	14	99	NA	NA	183	100	100	93	178	31	14	99	NA	NA	183	100
55	132	93	211	48	34	122	NA	NA	239	120	132	93	211	48	34	122	NA	NA	239	120
60	140	127	257	58	36	160	NA	NA	262	158	140	127	257	58	36	160	NA	NA	262	158
65	184	134	302	55	50	173	NA	NA	307	193	184	134	302	55	50	173	NA	NA	307	193
70	239	153	323	70	57	215	NA	NA	353	252	239	153	323	70	57	215	NA	NA	353	252
75	333	197	314	83	54	282	NA	NA	427	290	333	197	314	83	54	282	NA	NA	427	290
80	369	232	366	101	77	379	NA	NA	554	335	369	232	366	101	77	379	NA	NA	554	335
85	445	297	406	106	80	511	NA	NA	631	399	445	297	406	106	80	511	NA	NA	631	399
90	575	370	540	125	101	636	NA	NA	709	533	575	370	540	125	101	636	NA	NA	709	533
95	729	492	658	160	124	803	NA	NA	883	584	729	492	658	160	124	803	NA	NA	883	584
100	941	599	852	199	162	940	NA	NA	1148	623	941	599	852	199	162	940	NA	NA	1148	623
105	1120	697	1060	243	193	1166	NA	NA	1341	794	1120	697	1060	243	193	1166	NA	NA	1341	794
110	1317	764	1187	278	223	1438	NA	NA	1595	913	1317	764	1187	278	223	1438	NA	NA	1595	913
115	1634	945	1436	317	273	1713	NA	NA	1967	1111	1634	945	1436	317	273	1713	NA	NA	1967	1111
120	1951	1046	1744	396	309	2012	NA	NA	2297	1372	1951	1046	1744	396	309	2012	NA	NA	2297	1372
125	2356	1229	2012	424	369	2322	NA	NA	2686	1635	2356	1229	2012	424	369	2322	NA	NA	2686	1635
130	2838	1444	2327	496	464	2695	NA	NA	3186	1886	2838	1444	2327	496	464	2695	NA	NA	3186	1886
135	3285	1729	2785	572	507	3092	NA	NA	3650	2220	3285	1729	2785	572	507	3092	NA	NA	3650	2220
140	3890	2070	3164	653	533	3550	NA	NA	4319	2762	3890	2070	3164	653	533	3550	NA	NA	4319	2762
145	4428	2434	3719	750	642	4146	NA	NA	4981	3202	4428	2434	3719	750	642	4146	NA	NA	4981	3202
150	4968	2795	4258	894	780	4589	NA	NA	5730	3663	4968	2795	4258	894	780	4589	NA	NA	5730	3663
155	5526	3277	4869	1086	923	5453	NA	NA	6284	4184	5526	3277	4869	1086	923	5453	NA	NA	6284	4184
160	5943	3885	5548	1320	1061	6069	NA	NA	7044	4428	5943	3885	5548	1320	1061	6069	NA	NA	7044	4428
165	6590	4601	6452	1487	1312	6423	NA	NA	7611	5101	6590	4601	6452	1487	1312	6423	NA	NA	7611	5101
170	7150	5316	7141	1683	1588	6820	NA	NA	8059	5806	7150	5316	7141	1683	1588	6820	NA	NA	8059	5806
175	7316	6312	7559	2135	1847	7539	NA	NA	8436	6374	7316	6312	7559	2135	1847	7539	NA	NA	8436	6374
180	7652	7200	8204	2598	2140	7735	NA	NA	8493	6998	7652	7200	8204	2598	2140	7735	NA	NA	8493	6998
185	7844	7718	8443	2975	2604	8054	NA	NA	8435	7395	7844	7718	8443	2975	2604	8054	NA	NA	8435	7395
190	8024	8286	8499	3319	3056	8126	NA	NA	8371	7910	8024	8286	8499	3319	3056	8126	NA	NA	8371	7910
195	7940	8691	8238	3820	3564	7988	NA	NA	7672	8201	7940	8691	8238	3820	3564	7988	NA	NA	7672	8201
200	7811	8791	7908	4446	4212	7797	NA	NA	7087	8145	7811	8791	7908	4446	4212	7797	NA	NA	7087	8145
205	7447	8698	7440	5114	4868	7512	NA	NA	6421	8040	7447	8698	7440	5114	4868	7512	NA	NA	6421	8040
210	6843	8409	6839	5793	5438	6920	NA	NA	5638	7722	6843	8409	6839	5793	5438	6920	NA	NA	5638	7722
215	6123	7843	6227	6495	5901	6234	NA	NA	4750	7271	6123	7843	6227	6495	5901	6234	NA	NA	4750	7271
220	5309	6898	5422	7182	6625	5303	NA	NA	4018	6862	5309	6898	5422	7182	6625	5303	NA	NA	4018	6862
