0	3	2	3	2	4	1	3	2	5	3	4	4	3	2	2	2	2	2	3	5	2	2	4	3	2	4	4	1	1	5	4	3	3	3	4	2	3	3	3	3	2	2	3	3	4	3	3	5	3	3	2	1	2	2	2	2	1	4	3	1	2	2	2	2	1	4	3	1	3	3	2	1	4	2	3	3	2	2	3	5	2	3	2	3	3	4	1	2	3	2	3	2	3	4	2	5	4	5	1	4
5	36	26	46	34	35	38	27	22	35	17	54	41	56	22	35	44	29	27	27	44	28	36	29	26	21	42	49	33	18	35	43	36	20	26	34	35	28	33	38	46	34	29	27	26	44	48	35	41	41	32	26	24	28	32	36	38	23	50	32	26	32	36	33	42	28	29	37	9	30	28	40	34	35	38	31	34	22	31	47	37	27	29	26	47	32	9	20	42	38	40	32	34	33	44	35	42	38	47	15	33
10	92	79	136	94	81	85	86	71	135	109	96	111	106	42	81	103	83	87	74	112	73	95	82	88	63	97	102	88	63	94	98	99	103	50	99	103	87	111	90	91	88	87	71	67	103	96	113	94	92	68	82	72	88	38	94	47	38	98	83	87	35	96	86	51	87	92	85	47	59	100	101	89	91	100	48	116	78	93	101	109	98	106	86	60	75	56	77	101	89	82	49	84	87	107	91	85	103	104	70	103
15	114	163	149	192	178	124	176	142	134	112	138	130	112	166	145	182	101	153	95	170	122	57	143	157	141	133	164	157	135	105	175	144	173	92	160	111	90	185	90	175	178	141	61	86	162	174	81	182	78	148	86	137	149	141	75	176	236	178	136	156	160	174	177	156	160	157	163	122	167	135	145	125	75	146	150	216	147	85	164	155	121	163	161	96	147	117	139	152	157	159	177	153	151	155	160	109	181	146	96	172
20	102	155	169	158	197	223	151	186	210	180	200	212	221	221	206	209	219	113	187	227	229	171	105	220	202	251	259	112	82	221	267	206	223	210	234	240	218	149	188	260	249	217	179	212	110	237	99	205	95	138	192	192	360	216	201	245	132	146	177	226	219	207	202	212	218	91	462	111	243	147	181	160	123	136	223	125	213	137	254	154	254	227	217	180	122	201	117	240	209	222	203	241	157	212	101	386	248	107	205	138
25	148	197	303	156	277	272	299	240	281	226	224	244	340	181	223	317	300	175	219	153	137	181	104	349	248	213	195	260	195	248	165	167	132	127	177	266	189	332	289	249	136	176	189	225	295	448	235	177	169	186	170	251	310	301	273	189	316	199	165	148	172	497	277	313	317	290	500	274	141	111	186	292	283	162	242	202	301	308	200	305	285	223	227	195	275	152	176	197	133	249	218	271	265	461	158	205	305	276	115	322
30	172	293	498	309	229	557	214	250	250	240	351	350	324	218	249	598	275	398	382	334	164	228	139	675	222	330	354	344	360	237	258	356	362	302	384	353	574	478	294	192	319	356	300	335	378	381	174	301	268	187	249	329	316	294	313	228	289	356	219	248	248	548	384	368	257	344	657	185	266	483	413	219	283	217	261	327	447	324	279	221	234	265	221	299	332	284	173	266	397	362	280	347	289	293	375	264	251	338	211	636
35	441	490	1220	476	393	358	402	266	765	293	912	685	465	500	285	1296	762	464	893	842	395	503	309	1539	429	689	474	630	417	311	369	439	349	370	433	1052	585	422	531	485	590	246	335	255	734	912	418	285	319	460	299	429	311	457	589	387	245	389	282	293	383	959	559	612	533	386	1701	386	838	396	434	390	548	285	509	445	423	723	517	439	480	758	308	366	414	458	459	940	307	452	318	645	541	705	386	670	276	516	372	1456
40	1019	1076	8524	845	534	1089	572	2355	932	1217	4706	1952	898	1903	999	9591	622	791	1218	531	651	550	882	7538	610	764	947	1529	397	2238	897	2532	712	355	2192	2213	581	480	755	507	378	1487	726	438	817	3933	505	444	762	649	309	898	1127	495	1100	701	596	744	520	988	485	2322	2429	1032	763	530	6264	694	1178	949	265	929	1072	957	1800	492	1031	1011	1776	659	5765	1112	884	710	780	560	876	11157	727	1053	699	2062	469	3598	769	1412	539	2333	476	7913
45	3519	2627	26057	15591	2671	7645	3400	4812	12382	1868	22123	16771	6302	8787	1172	33449	4556	14237	8534	511	867	1166	1738	27061	2822	2085	11477	21322	5532	9014	7650	2081	3149	953	4510	18190	5494	1041	11899	999	1737	4625	2760	1053	6018	29300	2369	1089	317	1094	467	4291	5990	667	4497	2601	3914	4528	1886	1255	1676	14252	28414	5962	4366	2140	29597	2020	18168	2993	1470	2245	1669	743	5139	11631	5381	1693	10394	1066	25295	16544	14789	5133	1934	7712	6189	30214	4600	5740	3174	18905	1636	32353	1677	9828	2143	14395	1427	27789
