0	1	1	1	1	1	1	2	1	2	2	1	1	2	1	3	2	1	2	2	3	2	2	2	1	1	2	1	2	2	1	1	2	3	1	1	1	1	1	1	2	1	1	2	2	1	2	2	3	1	1	1	1	1	2	2	1	1	2	1	2	2	1	1	5	1	2	2	3	1	1	1	1	2	2	1	1	1	3	1	2	1	2	2	2	3	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1
5	1	7	4	3	4	15	3	2	5	7	8	3	6	10	12	9	1	5	5	10	4	3	8	8	7	11	6	10	1	2	4	6	8	4	NA	5	3	NA	4	3	8	2	7	7	2	4	5	12	3	6	4	5	3	5	7	5	5	4	4	11	2	6	10	20	5	8	2	8	3	8	5	3	8	2	3	1	2	7	4	12	2	11	9	7	8	3	3	6	0	16	2	2	9	4	4	1	7	4	2	3
10	6	2	4	9	1	10	5	3	2	4	8	0	5	4	11	10	2	9	5	3	7	8	5	9	5	5	13	17	3	3	1	4	11	13	NA	10	4	NA	6	5	5	6	10	15	4	9	8	11	16	3	7	7	11	3	5	5	12	7	10	11	8	5	11	7	10	7	7	21	3	2	3	0	19	1	5	3	3	2	8	9	1	13	6	11	4	4	3	10	NA	9	2	5	9	12	2	4	7	5	6	4
15	14	1	4	5	7	8	12	9	5	3	13	NA	5	4	8	8	2	8	12	7	9	7	4	6	10	8	12	13	8	1	2	10	4	3	NA	6	5	NA	1	9	2	5	7	6	4	4	7	8	12	12	5	6	12	8	10	3	4	4	13	5	7	8	5	12	14	7	9	9	9	9	9	NA	10	5	5	5	7	1	7	11	5	8	2	4	11	5	3	6	NA	10	2	4	10	13	7	9	5	5	6	2
20	8	3	5	7	9	7	14	7	5	9	6	NA	6	7	6	18	0	5	12	8	7	5	12	10	9	14	6	7	9	NA	6	3	13	5	NA	17	18	NA	4	8	11	7	16	13	20	6	11	13	8	15	9	8	5	6	12	10	10	12	11	9	15	2	4	12	4	14	5	6	7	4	9	NA	6	6	4	9	5	2	7	12	5	9	3	11	9	5	9	7	NA	12	NA	8	6	9	6	9	6	7	8	8
25	6	3	6	7	9	9	15	18	6	6	7	NA	10	8	11	11	NA	3	13	6	4	6	9	6	13	7	9	7	12	NA	3	3	12	6	NA	9	7	NA	2	9	5	7	10	7	10	8	10	5	13	6	6	7	9	13	14	4	9	3	16	13	8	5	9	12	5	12	11	6	8	5	13	NA	14	3	7	5	9	0	15	14	8	12	9	4	5	9	13	17	NA	22	NA	6	10	10	5	3	6	12	8	19
30	8	1	7	6	6	9	14	11	9	8	14	NA	5	9	15	17	NA	6	16	4	5	14	28	8	17	6	6	12	20	NA	1	5	9	4	NA	7	9	NA	4	6	13	7	7	6	7	10	14	9	5	9	10	7	8	3	12	6	7	4	13	8	8	15	11	9	6	10	10	13	4	4	5	NA	10	7	8	5	5	NA	5	9	4	11	6	10	7	8	4	8	NA	19	NA	8	5	9	6	1	11	16	22	8
35	6	NA	14	16	10	15	12	5	9	5	14	NA	9	14	5	25	NA	7	14	14	8	9	9	10	7	9	12	10	10	NA	4	15	8	4	NA	11	11	NA	3	8	6	11	8	7	7	9	10	9	8	18	23	11	12	5	9	13	13	7	10	9	12	10	18	13	4	9	8	13	9	7	7	NA	10	6	8	3	5	NA	9	13	11	13	11	6	9	5	6	9	NA	16	NA	11	8	9	9	NA	11	9	6	8
40	9	NA	10	7	23	13	14	6	7	9	13	NA	14	16	9	24	NA	7	9	5	15	7	12	14	9	6	5	18	19	NA	8	12	8	8	NA	15	10	NA	5	13	5	9	8	15	7	15	8	10	11	12	11	10	5	8	15	7	14	5	10	17	9	13	15	8	4	9	5	10	7	10	9	NA	10	13	11	4	7	NA	8	8	15	12	14	13	12	4	15	12	NA	12	NA	9	9	16	8	NA	15	6	8	9
45	6	NA	15	12	8	8	10	7	15	12	8	NA	14	11	15	9	NA	11	17	17	12	21	11	11	15	6	10	7	11	NA	7	7	13	12	NA	14	13	NA	11	6	6	16	8	11	13	12	9	8	20	24	16	12	7	7	14	16	9	8	14	12	11	10	11	11	9	8	4	11	8	6	10	NA	11	6	8	6	7	NA	14	17	16	13	11	10	16	8	12	9	NA	10	NA	7	11	14	8	NA	9	18	10	7
50	8	NA	11	13	10	14	15	15	8	14	14	NA	10	16	10	15	NA	15	18	13	11	19	10	18	10	7	8	9	11	NA	7	18	18	8	NA	22	16	NA	2	7	6	12	6	17	13	12	15	11	13	16	21	10	10	4	19	12	7	21	9	8	18	13	24	12	19	10	11	14	9	14	20	NA	14	3	9	4	8	NA	10	17	12	9	11	26	17	5	12	10	NA	16	NA	9	10	20	17	NA	14	10	7	16
55	15	NA	10	14	10	16	14	10	13	12	23	NA	16	12	22	11	NA	19	8	30	13	12	18	18	15	16	13	6	12	NA	10	11	9	9	NA	17	17	NA	6	9	10	10	9	17	14	27	13	11	15	14	10	10	20	9	17	5	15	7	15	13	14	19	18	14	16	13	9	13	8	19	8	NA	9	7	9	4	12	NA	15	16	11	11	7	16	14	6	6	10	NA	21	NA	9	18	11	8	NA	26	12	12	14
60	16	NA	16	11	19	24	12	17	9	11	10	NA	13	16	21	17	NA	22	28	18	9	9	7	20	16	12	18	7	14	NA	6	5	8	8	NA	12	14	NA	6	8	9	12	10	19	18	21	13	10	19	11	18	12	13	13	15	3	16	12	11	12	14	11	13	14	12	28	20	17	8	18	10	NA	13	6	10	9	9	NA	11	21	21	15	13	8	13	4	11	18	NA	18	NA	11	7	18	6	NA	13	17	11	19
65	12	NA	18	9	11	19	11	16	22	13	20	NA	9	12	8	18	NA	32	16	13	10	14	12	17	15	15	12	8	17	NA	7	6	11	10	NA	15	24	NA	7	11	12	14	16	12	18	11	9	17	16	16	16	12	13	11	18	9	15	15	20	9	16	16	17	12	8	13	25	14	10	9	12	NA	16	13	11	8	19	NA	17	13	15	14	15	20	12	6	18	15	NA	28	NA	10	8	14	16	NA	11	13	14	16
