0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	2	2	1	2	1	1	1	2	1	1	1	3	1	1	1	1	5	1	1	3	5	2	1	1	2	1	1	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	3	2	1	2	1	3	1	1	2	1	1	1	2	2	1	2	1	1	2	1	1	1	3	3	2	1	1	2	1	2	1	1	1	2	3	3	1	1	1	2	2	1	1	2	1	1	1	1	1
10	6	2	2	4	2	4	4	5	3	4	1	1	5	3	3	3	2	1	3	4	4	8	5	1	2	3	3	3	4	5	5	2	6	3	2	4	4	3	2	1	5	2	1	3	2	5	3	6	2	5	4	4	7	7	4	4	4	2	5	6	1	5	2	5	4	3	9	5	2	5	6	7	4	5	2	7	1	4	4	4	2	5	3	3	4	3	5	3	3	6	3	1	3	2	1	3	2	3	6	3
15	3	14	7	8	6	8	7	8	2	8	5	6	9	7	8	12	7	7	4	9	4	10	8	1	10	6	6	5	15	7	7	3	8	10	10	6	3	4	7	4	10	5	5	9	5	10	12	7	12	8	5	3	7	8	5	8	9	3	6	8	4	13	6	8	9	5	9	6	3	4	8	13	8	7	14	11	5	7	7	7	8	9	4	9	6	9	23	7	13	22	6	8	5	7	8	6	4	8	8	3
20	11	34	11	14	15	11	12	15	11	14	9	10	14	12	10	19	6	15	8	16	13	24	20	8	12	3	13	6	15	5	9	11	11	22	22	14	9	11	6	16	7	9	15	12	7	17	10	19	15	14	18	13	14	21	13	15	17	10	10	6	12	13	11	10	12	7	23	22	4	13	13	28	10	12	17	15	7	19	10	19	13	11	16	11	13	14	27	4	18	37	7	20	9	26	13	16	8	9	17	8
25	14	58	11	10	33	20	27	29	13	25	11	12	15	31	16	39	19	8	7	32	17	47	32	9	22	16	19	12	57	17	20	19	25	28	27	22	15	19	9	18	14	21	26	22	5	33	31	37	35	25	31	11	29	33	36	27	26	12	12	14	21	32	27	24	26	19	31	32	6	11	23	51	16	23	29	19	21	25	14	20	30	19	29	18	27	33	62	13	26	47	18	28	18	44	15	23	16	20	14	18
30	15	110	23	27	61	46	37	30	27	55	16	24	11	22	46	55	22	21	18	48	19	80	50	19	35	22	28	12	90	30	40	24	47	96	50	39	32	22	16	39	43	36	48	40	24	49	74	45	50	44	35	24	52	51	57	34	54	20	29	19	47	48	35	39	60	26	62	64	20	17	42	74	26	43	58	42	31	60	27	33	67	25	44	25	43	51	94	30	56	98	18	45	31	64	35	58	25	33	23	20
35	44	166	32	35	89	110	48	44	43	80	31	34	18	63	80	97	36	37	31	79	44	142	100	26	37	48	67	36	169	51	78	44	75	140	79	62	68	45	23	51	73	54	69	73	43	77	116	67	89	75	67	29	75	92	99	65	85	37	30	29	75	93	47	63	91	36	70	94	24	25	74	139	32	79	97	63	64	103	35	59	111	35	69	39	53	66	146	38	87	168	38	80	51	123	33	88	46	57	36	42
40	56	253	59	80	147	145	92	72	79	122	30	40	35	97	106	153	60	65	51	129	67	212	142	39	78	108	91	49	302	106	116	84	135	235	120	84	95	86	46	90	137	101	104	100	53	145	195	124	172	129	103	64	111	162	182	114	142	41	70	38	141	163	76	115	152	52	133	151	43	38	113	216	54	119	152	117	73	157	70	93	173	77	131	65	59	118	269	70	143	268	51	133	99	212	64	149	65	96	49	74
45	96	454	105	129	252	228	149	100	130	217	54	88	46	170	184	218	88	94	84	210	128	286	286	56	111	181	171	84	498	143	225	109	193	375	203	149	180	141	48	173	239	124	225	164	107	255	332	215	285	193	173	108	165	255	317	197	224	76	138	71	232	262	128	213	247	88	206	256	94	68	180	348	98	183	253	168	125	288	96	136	286	124	197	118	93	200	459	107	244	463	102	218	146	371	120	251	110	176	86	145
50	166	710	165	203	347	450	219	162	190	372	88	131	52	249	313	366	147	206	109	334	204	499	429	104	167	298	332	119	767	243	348	198	342	596	352	254	272	264	62	281	387	248	348	248	168	387	584	307	475	308	280	157	261	446	559	286	299	137	202	116	335	456	174	359	392	156	360	361	127	99	290	630	131	310	451	297	194	430	169	210	514	226	332	181	170	305	740	177	365	768	175	352	214	598	178	410	200	314	140	198
55	263	1084	254	356	585	662	396	241	312	552	145	265	76	417	436	536	233	305	156	614	344	744	721	145	278	484	530	210	1164	408	591	310	576	918	526	370	479	393	118	407	658	356	533	354	289	602	902	521	733	521	468	271	439	663	854	479	522	240	340	200	555	725	278	596	630	203	573	651	220	178	522	1005	235	474	700	450	330	745	249	376	758	342	484	323	264	443	1097	262	657	1122	251	616	390	1002	315	641	301	497	219	335
60	475	1561	389	623	932	1078	653	362	495	866	240	385	146	607	664	834	439	546	256	920	578	1062	1053	251	460	744	840	321	1690	608	893	513	835	1322	784	619	729	639	236	720	1026	568	844	573	514	930	1310	771	1114	815	699	396	669	957	1318	811	789	368	500	330	893	1090	453	817	1001	325	936	1030	339	304	716	1453	420	772	1065	683	491	1195	382	564	1245	541	810	489	426	724	1506	448	940	1676	413	981	640	1368	461	1061	498	739	442	527
65	668	2097	673	921	1361	1552	917	630	719	1296	401	605	212	981	972	1219	712	875	464	1331	841	1635	1581	327	730	1258	1264	540	2228	968	1334	754	1218	1770	1168	950	1139	987	349	1022	1406	862	1211	926	723	1367	1961	1179	1589	1317	1120	652	1080	1477	1831	1318	1209	635	865	527	1313	1579	673	1234	1425	544	1329	1590	562	489	1095	2030	677	1222	1592	975	750	1678	656	849	1732	874	1281	736	684	1193	2110	674	1359	2169	673	1432	953	2013	796	1565	713	1150	672	737
70	1108	2601	1052	1432	1866	2151	1399	990	1091	1789	670	952	300	1441	1414	1759	1118	1298	740	1931	1353	2075	2132	617	1083	1725	1785	800	2802	1437	1860	1132	1746	2238	1671	1459	1692	1448	564	1531	2043	1260	1758	1318	1170	1992	2404	1745	2045	1794	1534	956	1517	2046	2389	1830	1763	938	1269	784	1879	2118	1020	1746	2036	807	1903	2106	864	785	1537	2565	1126	1636	2076	1589	1183	2304	976	1288	2290	1259	1777	1151	1046	1590	2556	1023	1865	2649	1029	1989	1431	2535	1182	2107	1148	1623	1050	1143
75	1559	2792	1599	1971	2533	2528	1977	1369	1596	2325	1014	1464	558	1974	1888	2285	1597	1860	1102	2450	1876	2592	2550	937	1675	2219	2284	1162	2711	1951	2305	1634	2267	2656	2166	1924	2187	2066	891	2053	2495	1846	2332	1871	1694	2504	2768	2269	2503	2330	2136	1535	2230	2502	2624	2350	2224	1452	1817	1209	2377	2508	1628	2310	2586	1286	2380	2548	1291	1135	2077	2824	1683	2240	2529	2085	1600	2765	1442	1846	2683	1721	2281	1656	1492	2126	2789	1515	2480	2868	1479	2489	1952	2858	1647	2515	1604	2267	1568	1600
