0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	2	2	1	1	1	2	3	2	3	2	2	1	2	1	1	1	1	2	1	1	2	1	1	6	1	2	2	2	2	2	2	1	1	1	1	1	3	1	1	1	3	3	2	6	1	3	2	4	3	1	1	2	3	2	2	2	1	2	5	2	5	3	2	3	2	1	1	1	2	5	1	2	2	5	1	3	2	2	2	4	2	3	2	1	2	1	2	1	3	2	3	1	1	3	1	2	2	1	1	1
10	13	11	8	14	9	8	7	4	6	8	6	5	6	12	9	11	7	5	1	5	9	4	2	9	5	6	11	3	9	4	9	9	7	9	2	5	6	2	9	5	10	4	4	5	8	6	7	7	4	8	6	7	13	8	6	4	6	5	6	4	7	2	10	7	15	8	5	5	10	14	6	8	5	4	9	6	5	1	7	14	8	7	2	4	7	0	5	9	9	8	6	7	7	4	7	2	14	NA	9	3
15	18	13	7	26	12	11	13	22	13	17	17	11	7	11	19	12	12	12	10	18	47	9	1	14	11	7	16	14	10	6	11	21	14	15	7	15	3	10	17	11	10	20	7	11	17	15	22	11	18	17	16	7	31	18	18	7	10	11	10	9	12	15	14	14	26	15	14	11	12	11	13	15	13	21	16	11	11	5	13	15	16	21	7	3	11	NA	2	10	7	9	13	12	9	14	14	9	19	NA	17	4
20	29	35	15	34	10	21	31	36	22	20	16	17	18	13	36	32	28	26	19	47	61	19	4	28	23	15	30	28	12	17	21	35	31	25	15	23	12	26	28	9	38	36	5	18	41	27	51	12	25	29	20	13	45	29	47	18	21	22	26	24	24	18	21	12	74	35	32	22	20	30	21	42	27	48	33	33	31	10	26	21	38	44	8	6	17	NA	16	13	24	14	20	24	41	12	27	11	41	NA	22	15
25	54	58	23	81	31	46	34	41	48	37	27	28	22	17	59	58	58	39	19	62	113	26	8	53	33	26	43	46	20	23	36	44	51	25	19	33	28	28	77	19	50	50	5	17	91	59	120	25	70	53	49	18	81	37	106	19	25	20	50	61	60	25	26	17	103	48	55	48	57	54	25	95	59	98	54	62	63	20	43	31	90	74	11	7	44	NA	17	18	33	21	43	53	83	29	56	23	88	NA	37	16
30	114	98	34	156	45	78	49	89	101	65	37	36	44	31	102	102	103	65	28	114	181	42	10	118	69	43	58	85	32	37	92	65	87	38	42	92	45	45	131	37	102	115	4	34	145	102	211	48	118	78	83	22	150	62	229	48	53	48	79	146	97	34	55	16	185	91	116	69	118	98	49	191	91	145	109	140	100	37	38	53	160	123	12	21	84	NA	29	29	50	57	74	73	198	52	93	39	175	NA	38	34
35	187	170	67	275	93	134	90	176	207	90	73	60	70	60	199	141	180	124	34	168	288	94	17	191	113	91	114	117	58	79	121	96	182	87	59	151	81	96	252	44	198	194	7	70	264	151	378	73	167	126	165	41	245	165	405	77	62	107	127	248	191	45	114	32	261	168	204	144	192	178	75	318	187	242	193	196	186	68	75	89	260	217	24	37	146	NA	40	65	86	81	113	142	369	94	163	53	300	NA	54	61
40	390	305	111	420	136	228	161	311	315	150	103	104	115	92	309	212	351	209	59	306	503	145	41	356	174	151	186	224	77	108	244	166	322	154	80	239	129	159	463	104	310	362	19	122	471	273	697	123	302	226	275	69	436	244	713	149	104	199	219	436	302	83	160	45	487	279	379	303	307	308	112	576	328	476	363	390	323	127	137	144	502	388	36	84	267	NA	62	83	114	178	192	224	615	157	246	93	452	NA	104	115
45	643	546	183	755	173	377	281	525	559	264	166	146	245	168	558	457	585	311	98	481	784	259	66	566	256	303	286	382	149	214	414	241	547	277	137	414	226	238	761	129	548	603	40	181	796	452	1167	202	538	412	485	111	727	461	1141	270	184	319	416	702	448	129	277	70	942	487	669	454	547	521	208	857	550	811	614	617	610	225	241	284	899	696	47	174	458	NA	128	143	196	313	307	354	1110	289	396	164	844	NA	188	204
