0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	2	2	1	1	1	1	1	1	1	1	1	6	1	1	1	2	1	2	3	2	2	1	2	1	3	5	1	1	2	4	3	1	2	1	3	2	2	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	3	3	1	1	3	1	1	1	2	3	2	2	1	3	2	NA	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	3	1	1	NA	4	2	2	2	1	1	2	1	1	1	1	1	3
10	3	4	4	1	3	2	2	7	5	5	4	3	2	2	4	2	7	3	3	3	1	3	4	3	2	1	5	5	3	3	3	3	1	2	4	3	5	2	2	1	3	5	7	5	3	4	4	4	3	3	2	3	3	5	4	5	1	4	3	4	5	1	4	2	3	2	3	NA	2	5	6	9	2	3	6	3	3	3	3	7	3	5	1	7	7	6	NA	3	6	6	5	5	5	2	4	3	3	2	3	3
15	4	3	10	8	8	7	4	5	7	5	7	4	4	5	11	5	7	4	6	6	6	5	10	5	11	4	8	5	7	9	5	7	9	6	9	6	13	4	9	2	7	7	8	7	7	8	9	7	7	4	6	6	3	14	5	7	7	4	8	3	6	2	4	3	6	5	7	NA	9	7	5	8	6	3	6	6	3	5	4	8	3	4	7	9	4	4	NA	8	5	10	6	5	8	1	9	6	5	10	5	6
20	7	3	11	8	8	11	6	9	14	14	10	7	8	5	17	5	10	6	11	6	11	7	12	5	12	6	15	11	11	7	6	9	8	12	19	13	18	5	9	4	7	16	15	11	7	9	12	7	9	8	8	11	11	18	5	17	11	9	12	7	7	4	6	9	8	13	8	NA	15	11	11	16	9	8	9	6	9	4	7	12	6	9	13	15	6	12	NA	13	12	8	14	8	6	5	10	7	8	17	5	9
25	11	5	22	14	21	12	10	12	18	19	11	14	7	14	22	10	20	9	18	13	9	9	24	11	22	12	17	7	11	17	16	13	10	20	17	18	19	12	13	6	9	21	20	14	16	11	13	10	12	14	15	10	14	21	12	26	17	19	19	12	10	5	12	11	14	20	12	NA	17	12	18	27	12	15	10	8	14	11	6	22	11	12	32	22	15	14	NA	12	18	22	15	15	6	8	14	6	7	18	12	23
30	12	10	35	15	25	14	15	26	23	28	15	24	18	11	36	9	24	15	30	13	17	9	37	12	38	16	31	15	18	21	21	13	17	21	28	25	38	19	14	13	11	35	36	14	11	19	17	13	15	20	17	24	13	34	15	32	21	26	26	20	15	10	17	10	20	29	13	NA	29	18	31	41	17	20	23	11	13	6	12	27	23	17	40	36	24	14	NA	22	29	27	17	21	7	17	17	12	20	32	25	29
35	25	19	45	24	35	16	26	35	36	31	17	39	22	20	66	17	38	20	35	23	26	20	49	24	69	28	52	23	24	23	29	16	23	26	28	31	49	29	19	10	20	52	47	26	19	22	33	18	24	26	20	21	20	43	13	39	24	24	35	31	29	16	24	24	29	35	19	NA	39	24	47	48	29	27	24	17	18	15	20	37	23	22	69	58	32	28	NA	34	34	33	14	22	16	29	21	15	28	37	31	49
40	33	21	87	44	47	25	34	48	49	40	30	56	37	29	83	29	43	23	54	37	47	38	73	31	90	44	59	27	25	35	41	28	27	42	48	50	50	34	34	18	36	70	54	40	35	20	40	26	37	33	38	38	42	57	29	66	36	34	40	38	36	16	34	32	41	51	37	NA	55	34	68	67	39	35	36	26	30	22	33	63	42	38	90	87	58	34	NA	47	48	51	31	37	21	54	30	20	31	58	40	78
45	52	39	131	51	78	35	42	60	78	61	33	66	47	42	144	29	46	38	64	66	60	55	134	34	133	60	90	27	33	45	50	28	35	60	76	56	66	32	51	28	58	94	95	49	45	32	59	40	47	65	49	68	47	91	50	104	54	40	61	52	47	26	31	54	55	64	47	NA	78	50	93	76	58	66	51	53	55	28	48	81	64	57	139	110	92	42	NA	45	84	60	35	75	23	76	44	27	47	74	65	103
50	60	50	190	77	99	45	61	89	98	74	39	95	73	53	217	33	74	71	84	109	72	75	141	53	199	63	123	47	39	43	71	50	47	82	102	103	86	58	58	46	74	117	128	93	61	47	82	50	53	99	77	84	51	108	59	151	69	58	73	78	68	32	45	83	63	101	72	NA	115	65	137	124	97	78	91	67	76	44	63	111	104	56	233	161	126	78	NA	55	92	75	45	106	43	102	57	39	62	108	83	158
55	97	59	282	95	140	67	97	103	119	104	46	120	116	75	321	50	96	88	115	134	130	97	217	90	257	84	186	74	55	59	92	53	61	111	151	145	154	71	80	68	115	180	193	136	85	52	134	82	76	148	117	129	80	152	91	250	85	74	119	106	97	55	64	114	95	115	119	NA	154	93	180	158	137	138	129	108	93	71	81	140	170	74	327	214	200	112	NA	76	124	90	67	137	57	141	71	56	76	151	133	209
60	127	100	385	111	179	97	115	141	182	138	68	191	148	106	437	57	123	128	170	197	179	151	286	124	379	131	251	90	60	77	132	84	75	137	223	227	201	92	103	81	167	288	269	181	87	86	174	104	81	185	163	200	105	216	119	295	127	126	143	177	129	66	91	170	115	205	160	NA	227	140	267	207	211	165	203	164	129	90	103	214	257	110	446	290	268	169	NA	110	192	116	92	173	87	163	116	78	116	188	202	325
65	171	125	509	132	224	158	184	196	244	210	90	264	230	138	644	79	184	197	239	291	217	203	388	168	487	184	356	123	97	119	176	127	125	221	309	299	263	99	151	119	254	430	359	291	137	143	250	178	95	254	257	249	147	312	145	447	156	175	192	244	184	105	139	219	158	278	244	NA	335	188	366	321	262	229	247	232	195	117	142	262	355	167	648	445	334	248	NA	141	252	160	142	264	126	234	158	107	176	284	263	454
70	285	161	717	208	304	221	245	292	348	284	138	364	345	193	854	113	238	256	348	347	321	291	544	212	707	271	470	201	146	126	238	180	170	278	444	407	372	155	224	170	305	564	523	390	174	199	309	238	166	326	380	358	226	436	259	566	243	239	270	346	232	130	165	304	211	388	381	NA	485	246	504	432	389	317	324	300	275	172	200	395	519	209	881	616	485	345	NA	197	342	231	185	334	165	291	225	153	245	363	370	635
75	361	230	917	287	439	282	344	408	451	439	205	544	477	281	1214	170	330	378	438	508	430	403	705	286	944	357	623	268	202	161	353	268	243	426	607	574	515	203	290	258	430	761	717	537	257	273	418	341	192	491	510	467	266	622	346	807	303	360	337	501	355	178	241	468	292	539	532	NA	662	342	664	557	562	440	412	409	348	238	291	548	718	261	1164	850	630	521	NA	275	492	300	275	522	212	456	314	199	337	570	481	866
80	568	323	1267	403	621	364	495	575	614	547	283	734	663	404	1581	234	465	504	603	753	590	619	972	391	1298	486	851	375	309	252	533	394	383	521	847	791	676	292	427	369	599	1031	934	790	350	384	586	467	275	630	741	709	362	859	424	1110	464	436	474	677	496	249	374	663	384	765	702	NA	980	490	965	713	745	662	592	584	511	324	415	725	1012	391	1548	1089	864	734	NA	409	703	446	391	686	309	620	460	311	485	782	694	1111
85	769	429	1697	517	859	544	613	823	824	757	406	920	884	555	2141	324	618	663	803	985	840	828	1286	531	1695	651	1117	522	436	343	681	503	541	770	1151	1140	878	451	598	477	796	1401	1270	1046	530	510	757	652	373	881	970	958	517	1183	593	1403	581	629	668	959	740	346	511	868	551	978	1013	NA	1258	713	1278	959	1041	862	784	726	729	432	617	934	1469	531	2018	1409	1198	931	NA	502	965	604	477	899	417	856	622	417	652	1033	951	1449
90	983	542	2082	738	1103	736	851	1100	1126	983	524	1227	1146	806	2677	459	876	923	1112	1330	1213	1118	1757	744	2143	906	1512	713	671	482	949	688	729	1007	1475	1496	1207	615	787	712	1122	1831	1703	1417	689	693	1054	865	555	1127	1326	1236	725	1589	759	1872	899	871	884	1312	964	466	672	1195	725	1390	1434	NA	1553	922	1643	1197	1407	1072	1050	1047	984	601	863	1260	1898	694	2372	1791	1527	1290	NA	761	1291	752	703	1224	555	1180	873	581	919	1378	1388	1867
95	1354	764	2627	1003	1396	998	1147	1376	1558	1362	735	1650	1531	1053	3177	634	1184	1172	1444	1629	1555	1504	2250	1048	2670	1234	1994	930	880	652	1210	878	946	1369	1937	1796	1616	809	1091	936	1465	2360	2175	1865	949	877	1417	1197	716	1509	1675	1700	1035	2047	1116	2349	1235	1194	1149	1773	1296	677	972	1577	1017	1793	1925	NA	1994	1243	2113	1565	1793	1523	1416	1393	1345	748	1169	1599	2361	943	2878	2282	1937	1626	NA	975	1721	1008	908	1603	801	1464	1168	832	1242	1771	1841	2350
100	1821	1051	3033	1425	1855	1255	1591	1880	1956	1827	983	2127	1935	1405	3565	836	1599	1616	1822	2130	2012	1965	2681	1414	3101	1631	2465	1200	1238	872	1615	1197	1284	1774	2473	2232	2068	1108	1416	1317	1914	2803	2691	2271	1224	1161	1802	1572	1037	1924	2127	2096	1405	2553	1454	2828	1645	1550	1588	2285	1612	980	1282	2059	1309	2263	2418	NA	2561	1676	2586	1954	2324	1923	1830	1786	1716	1096	1567	2071	2915	1243	3263	2764	2460	2106	NA	1343	2188	1287	1254	2103	1043	2040	1472	1057	1628	2297	2294	2898
105	2274	1364	3471	1792	2412	1661	2008	2352	2393	2252	1339	2618	2474	1775	3766	1105	2001	2165	2334	2602	2591	2450	3110	1825	3554	2128	2870	1606	1584	1245	2042	1564	1794	2194	3030	2782	2665	1472	1963	1679	2307	3271	3306	2825	1698	1563	2251	2087	1430	2391	2651	2608	1858	2932	1933	3252	2108	1982	2015	2788	2123	1264	1690	2563	1771	2685	2984	NA	2971	2140	3111	2494	2750	2421	2350	2286	2212	1414	2002	2456	3315	1663	3547	3147	2900	2603	NA	1772	2733	1718	1663	2520	1446	2464	1823	1469	2106	2800	2790	3290
110	2804	1789	3705	2321	2899	2154	2481	2784	2934	2828	1778	3001	2948	2217	3422	1528	2498	2613	2830	3129	3081	2961	3526	2294	3575	2635	3335	2010	2028	1561	2469	1974	2225	2799	3458	3148	3088	1861	2364	2132	2936	3501	3579	3284	2183	1963	2817	2625	1847	2859	3117	3107	2352	3365	2292	3556	2637	2491	2508	3311	2611	1678	2156	3100	2191	3173	3464	NA	3403	2667	3420	2924	3368	2773	2867	2754	2868	1909	2480	3023	3688	2115	3396	3401	3358	3058	NA	2238	3187	2194	2141	2948	1801	2941	2459	1890	2740	3232	3273	3531
115	3121	2294	3422	2715	3351	2578	2849	3282	3295	3281	2260	3332	3369	2670	3058	1959	3082	3117	3326	3502	3629	3385	3528	2865	3577	3097	3578	2517	2552	2111	2942	2561	2670	3179	3787	3470	3416	2376	2854	2701	3394	3595	3619	3466	2706	2447	3247	3145	2415	3241	3283	3460	2846	3565	2735	3571	3094	2976	2980	3587	3106	2152	2678	3466	2665	3570	3682	NA	3558	3201	3711	3314	3602	3230	3235	3168	3260	2309	3072	3450	3628	2588	3111	3518	3566	3363	NA	2684	3425	2741	2575	3364	2294	3440	2912	2315	3211	3563	3548	3647
120	3369	2752	3145	3227	3562	3134	3284	3688	3537	3659	2699	3509	3639	3112	2461	2510	3504	3382	3592	3673	3747	3617	3405	3334	3045	3586	3577	2948	3033	2478	3344	3072	3189	3459	3608	3559	3609	2838	3357	3055	3583	3332	3554	3646	3026	2932	3417	3451	2858	3482	3508	3720	3230	3613	3163	3278	3492	3274	3394	3721	3474	2572	3193	3677	3166	3715	3682	NA	3533	3553	3421	3475	3760	3375	3593	3523	3636	2931	3501	3677	3497	3098	2640	3190	3637	3515	NA	3188	3571	3198	2963	3528	2844	3528	3238	2762	3583	3635	3652	3243
125	3540	3199	2437	3552	3571	3487	3518	3602	3545	3661	3154	3490	3559	3512	1773	3078	3618	3605	3621	3503	3683	3677	2913	3689	2431	3725	3262	3481	3462	3032	3616	3325	3487	3711	3333	3326	3504	3312	3575	3416	3636	2915	2966	3540	3477	3274	3606	3687	3302	3485	3370	3556	3598	3255	3467	2864	3734	3537	3630	3519	3545	3104	3516	3481	3347	3468	3378	NA	3134	3606	3103	3416	3453	3465	3574	3567	3659	3336	3678	3473	2872	3309	2143	2876	3227	3413	NA	3474	3423	3496	3366	3429	3253	3555	3445	3152	3644	3422	3364	2866
