0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	1	2	1	1	1	3	1	1	1	1	1	2	1	2	1	1	1	1	1	3	2	1	1	1	1	1	1	3	1	1	3	2	1	NA	1	1	NA	1	4	1	3	1	1	1	2	3	1	2	1	1	1	1	1	1	1	2	3	2	1	2	1	1	2	1	2	2	3	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	2	1
10	1	2	3	3	4	9	4	2	3	4	4	0	4	4	5	2	2	4	5	7	2	2	3	2	4	5	1	4	2	1	2	2	5	1	NA	3	1	NA	1	3	2	3	2	2	1	2	6	5	3	3	3	2	1	3	3	2	2	4	6	2	2	3	5	6	2	3	1	3	2	4	4	0	1	6	3	2	1	2	2	5	2	3	2	2	4	2	2	4	NA	3	1	2	2	1	3	1	3	5	2	2
15	2	1	4	5	2	11	5	2	3	5	9	NA	4	7	8	5	1	4	11	5	2	4	5	4	5	5	3	7	2	2	2	3	10	3	NA	8	2	NA	2	4	5	3	8	11	3	5	8	5	6	3	5	3	4	3	5	3	6	6	7	6	4	2	12	9	4	4	2	16	2	2	4	NA	6	2	4	1	2	1	2	7	3	7	3	4	5	4	2	6	NA	4	2	4	3	6	3	1	5	4	5	3
20	5	1	5	6	3	11	10	4	8	6	15	NA	3	8	10	8	0	8	9	6	4	7	3	6	7	8	5	9	6	NA	4	6	4	3	NA	6	2	NA	1	5	3	3	8	12	1	6	7	9	10	5	6	4	6	5	6	2	9	7	19	7	5	4	13	12	5	3	5	18	3	3	7	NA	10	3	5	5	4	1	5	9	3	7	4	4	7	5	4	8	NA	7	NA	2	4	10	8	3	8	6	6	3
25	10	2	7	7	7	17	15	7	11	10	15	NA	5	12	10	14	NA	7	14	3	7	11	5	10	7	11	8	10	6	NA	3	8	9	5	NA	10	9	NA	2	6	11	6	12	19	5	6	13	14	11	14	11	8	7	5	7	5	9	8	23	6	10	2	15	18	7	10	4	19	4	3	5	NA	10	4	6	4	4	0	7	13	4	11	5	10	13	4	5	8	NA	11	NA	3	3	11	9	6	7	5	9	5
30	7	2	7	8	9	18	17	13	11	10	19	NA	11	15	7	14	NA	9	19	6	7	12	6	11	16	8	10	10	8	NA	4	4	14	6	NA	12	8	NA	2	14	7	11	15	29	7	11	18	10	15	17	13	11	12	6	16	4	9	3	30	11	13	2	23	26	4	14	8	19	7	5	14	NA	16	4	7	3	9	NA	7	19	8	13	9	6	12	5	14	9	NA	15	NA	3	8	15	10	1	10	7	12	15
35	15	NA	18	11	12	22	21	13	19	15	21	NA	9	18	15	28	NA	10	27	5	8	14	13	10	22	10	7	16	10	NA	3	1	13	6	NA	12	15	NA	3	9	8	11	14	35	10	13	23	13	13	24	16	16	14	5	23	4	11	5	34	17	14	7	24	28	8	15	11	22	6	5	14	NA	12	4	13	4	12	NA	10	18	11	11	8	14	16	4	13	12	NA	26	NA	7	5	14	6	NA	14	10	19	21
40	13	NA	21	15	13	28	24	15	21	15	29	NA	10	26	17	30	NA	18	32	9	10	18	11	13	33	20	12	13	24	NA	5	4	19	5	NA	13	15	NA	2	12	7	11	11	33	17	15	26	15	21	44	26	19	18	3	33	2	20	8	40	22	22	8	29	35	8	12	15	32	11	10	18	NA	22	3	14	5	10	NA	11	20	21	20	12	14	15	6	14	14	NA	35	NA	11	4	21	8	NA	18	13	20	24
45	17	NA	24	24	20	34	45	19	19	16	36	NA	12	28	14	32	NA	20	28	11	12	22	16	21	37	19	11	13	35	NA	10	10	17	6	NA	16	20	NA	4	18	9	18	18	42	18	22	31	19	27	36	27	22	17	8	38	1	22	10	53	31	19	12	38	43	10	19	17	41	10	12	17	NA	18	4	17	4	11	NA	12	20	29	20	20	17	16	4	15	21	NA	47	NA	10	7	19	11	NA	19	12	21	29
50	20	NA	31	23	26	37	44	29	36	18	37	NA	15	37	16	42	NA	26	37	18	15	27	29	28	41	18	16	12	35	NA	10	4	15	9	NA	17	32	NA	6	22	11	18	21	57	22	28	32	21	35	61	37	26	16	7	42	4	31	10	69	39	30	15	49	53	15	23	11	59	10	16	20	NA	29	7	15	2	9	NA	18	32	44	26	18	15	23	6	16	32	NA	50	NA	13	11	37	13	NA	22	21	29	42
55	20	NA	29	30	29	44	55	34	44	25	48	NA	14	48	22	47	NA	32	61	20	19	27	28	47	53	26	16	15	34	NA	6	9	23	4	NA	23	42	NA	3	14	15	30	23	62	33	32	43	31	50	60	42	31	16	4	60	7	23	16	74	46	33	22	51	75	16	26	20	74	19	23	32	NA	30	4	12	2	11	NA	27	39	59	30	21	17	19	6	25	29	NA	71	NA	12	8	40	18	NA	32	26	32	63
60	20	NA	37	40	31	66	70	38	55	30	69	NA	16	58	30	55	NA	41	73	29	22	28	30	57	78	32	20	13	43	NA	10	8	36	9	NA	21	53	NA	3	22	20	35	27	73	42	44	45	28	63	66	43	41	32	6	81	9	35	21	123	64	47	29	82	89	20	31	17	88	26	40	43	NA	33	8	17	2	13	NA	33	49	67	36	20	17	24	10	29	35	NA	97	NA	13	11	51	28	NA	31	33	29	88
65	20	NA	38	39	39	100	65	52	55	41	85	NA	27	92	30	78	NA	51	111	43	22	25	32	78	104	48	16	14	51	NA	9	10	41	10	NA	32	71	NA	2	27	20	34	37	97	65	60	47	35	75	76	62	46	40	6	104	8	43	34	158	72	52	34	113	109	30	40	18	113	32	50	52	NA	39	9	27	4	19	NA	41	61	88	46	25	16	25	15	47	43	NA	96	NA	13	12	66	28	NA	33	53	42	104
