0	1	1	1	2	2	2	1	2	1	1	3	1	2	1	2	1	1	2	2	1	1	2	1	3	3	2	2	2	1	2	2	2	1	1	1	3	1	3	2	1	1	1	1	2	1	2	3	2	1	2	2	2	2	1	1	3	2	1	2	2	2	2	1	1	1	1	1	1	3	1	2	2	3	1	2	1	2	2	2	1	1	1	2	1	2	2	3	2	2	1	1	2	1	2	2	1	2	1	1	1
5	4	5	8	3	7	11	4	8	9	4	17	7	7	8	4	1	1	13	2	7	11	15	8	8	10	14	11	7	6	8	3	9	3	9	1	14	NA	13	6	8	6	3	4	3	2	5	9	7	7	10	7	15	5	6	2	11	11	8	14	13	9	7	6	10	3	6	7	2	10	5	12	9	10	6	8	3	10	13	5	1	5	7	12	9	10	6	7	12	4	15	NA	5	1	13	4	4	5	7	1	7
10	3	4	8	8	12	18	26	23	17	11	33	9	7	7	5	NA	2	18	1	10	12	21	18	15	21	16	28	15	10	18	9	10	8	11	NA	17	NA	34	12	9	8	3	7	8	NA	21	24	19	13	20	12	10	3	10	6	10	34	13	21	15	26	8	12	24	10	15	9	6	18	10	24	29	15	9	7	4	25	19	16	NA	6	15	19	18	14	11	9	19	1	14	NA	9	8	18	9	9	9	9	5	25
15	10	10	5	18	11	19	37	19	32	20	54	15	18	11	9	NA	2	31	6	11	15	32	25	32	20	26	28	19	11	30	9	19	14	16	NA	22	NA	46	18	23	11	5	19	14	NA	35	39	19	11	35	27	16	11	9	7	23	36	22	28	29	47	9	15	32	22	17	13	16	26	22	25	43	22	20	9	8	38	23	30	NA	9	20	17	11	33	24	19	21	3	26	NA	15	13	22	16	16	14	18	7	36
20	18	13	13	18	11	26	34	19	44	15	83	13	25	7	27	NA	8	57	7	20	22	34	39	25	32	43	30	35	15	40	12	23	18	24	NA	34	NA	68	27	41	9	4	28	23	NA	43	53	28	12	56	21	33	14	14	10	43	38	44	32	43	66	13	24	31	28	23	16	20	23	21	31	70	25	23	10	18	42	35	33	NA	17	32	34	21	41	22	21	38	4	35	NA	23	32	38	15	20	29	25	10	42
25	21	13	20	8	13	44	34	23	67	21	99	19	37	14	38	NA	19	94	14	33	34	40	39	51	64	39	50	39	15	57	23	57	27	39	NA	53	NA	86	34	61	10	3	41	35	NA	55	93	50	33	93	33	31	27	19	16	46	37	70	46	60	80	26	53	39	33	30	10	20	27	34	45	88	32	49	12	21	50	57	40	NA	36	25	53	32	52	33	42	51	4	30	NA	31	27	51	25	26	49	42	16	56
30	47	14	27	12	38	53	44	29	81	24	116	39	67	31	52	NA	33	123	17	39	48	62	63	64	66	51	88	48	22	63	23	57	31	41	NA	69	NA	118	53	49	19	NA	47	42	NA	73	134	79	49	127	72	53	38	35	23	71	63	108	50	67	98	42	75	56	30	28	15	41	27	39	38	131	37	65	18	44	42	89	31	NA	60	30	64	55	63	50	65	76	5	45	NA	47	39	60	43	41	66	83	27	80
35	55	21	45	19	54	92	53	47	97	27	155	59	59	26	90	NA	41	151	30	46	51	106	77	101	98	65	130	72	26	58	53	72	53	48	NA	122	NA	152	71	60	28	NA	69	49	NA	81	218	93	48	182	85	61	45	43	41	74	77	147	46	102	109	44	84	78	48	41	32	72	31	49	51	184	45	88	24	61	46	101	39	NA	90	37	77	77	73	63	82	90	3	52	NA	75	68	79	45	57	88	94	39	94
40	61	46	62	26	69	132	84	64	95	64	224	86	64	22	97	NA	47	172	47	52	58	189	110	144	126	91	161	85	40	72	74	87	79	60	NA	149	NA	220	89	86	57	NA	88	85	NA	79	248	87	63	194	119	79	57	89	69	109	107	169	71	145	156	66	128	124	69	77	39	66	54	57	82	250	57	70	37	98	50	111	52	NA	95	68	123	113	102	78	114	140	5	82	NA	88	73	117	61	66	136	131	53	147
45	67	52	61	30	71	210	117	75	122	101	310	107	58	24	121	NA	58	236	72	95	93	219	162	164	191	132	181	105	69	82	105	137	99	95	NA	171	NA	288	84	89	59	NA	107	125	NA	101	360	94	73	283	194	137	64	119	69	113	124	245	84	151	187	89	175	155	85	81	39	80	66	61	67	346	94	101	52	100	68	157	67	NA	151	81	174	138	102	104	174	146	9	98	NA	86	97	162	59	75	146	187	61	204
