0	1	3	1	2	1	1	2	1	3	1	3	1	3	2	1	2	1	4	1	1	3	2	4	1	2	1	1	2	1	2	1	3	2	2	1	2	2	2	1	1	1	1	1	2	2	3	1	1	2	1	2	1	1	1	1	2	2	1	1	1	2	1	2	0	1	1	1	1	1	1	2	1	1	2	2	2	1	2	3	2	2	1	1	3	2	1	2	2	1	4	1	3	1	1	2	2	1	1	1	1
5	5	10	1	2	6	7	1	5	8	NA	8	2	9	9	3	8	7	11	8	1	9	7	14	5	9	4	1	8	1	2	4	12	5	8	0	7	3	5	4	6	2	9	8	4	4	11	2	4	5	11	11	3	4	NA	3	10	7	3	9	6	6	6	15	NA	4	5	4	6	3	4	6	2	8	5	4	7	3	8	7	13	12	10	6	12	13	3	3	6	NA	9	5	8	3	5	6	7	6	6	5	12
10	19	9	5	4	5	15	0	5	8	NA	10	3	10	18	5	11	9	14	13	4	17	8	11	10	15	16	1	5	NA	1	2	20	8	13	NA	9	3	11	2	6	NA	15	10	8	7	16	2	11	7	11	30	7	5	NA	1	8	10	2	10	5	9	14	20	NA	11	12	11	13	3	8	22	3	12	6	1	9	1	15	8	27	5	10	9	20	19	5	7	8	NA	10	9	7	2	13	6	18	7	8	10	23
15	28	10	10	4	13	21	NA	6	4	NA	13	6	14	50	10	15	7	13	12	10	19	4	15	7	20	14	2	5	NA	1	8	16	12	18	NA	8	2	17	6	10	NA	14	12	7	9	18	1	21	15	3	51	7	7	NA	NA	14	9	4	14	12	11	23	17	NA	20	16	12	22	8	8	22	5	12	7	3	6	2	30	13	24	5	13	13	23	26	20	10	4	NA	27	15	13	1	12	24	21	10	12	16	42
20	17	9	19	3	14	36	NA	8	11	NA	8	6	18	53	13	21	3	10	11	15	24	6	16	15	16	25	6	8	NA	4	6	12	10	15	NA	18	5	16	11	16	NA	10	27	15	4	16	5	22	27	3	54	12	12	NA	NA	22	7	4	14	22	14	28	32	NA	22	27	25	32	9	14	32	2	17	10	6	7	6	38	5	28	5	13	13	24	32	27	18	4	NA	30	10	15	1	12	22	25	18	17	33	43
25	13	9	16	3	11	58	NA	7	13	NA	7	9	14	38	10	22	5	8	9	17	33	11	22	38	22	31	4	12	NA	6	8	22	9	25	NA	28	7	9	20	24	NA	8	19	18	1	16	8	48	20	5	65	16	22	NA	NA	34	12	9	15	29	31	25	43	NA	22	34	36	33	6	21	36	7	25	12	7	4	4	29	4	35	6	15	14	25	60	23	29	5	NA	35	10	6	NA	26	9	30	17	6	36	34
30	24	7	22	0	30	54	NA	11	15	NA	21	7	15	53	9	20	8	9	11	10	38	20	14	41	12	22	11	15	NA	3	22	22	20	35	NA	20	10	13	26	26	NA	16	17	24	NA	14	0	57	12	2	86	17	29	NA	NA	51	15	11	8	41	33	26	56	NA	24	36	35	53	12	27	53	13	36	6	11	6	1	31	5	40	10	29	20	26	74	10	39	4	NA	34	9	8	NA	24	13	33	17	13	27	56
35	27	15	32	NA	40	64	NA	13	13	NA	26	12	31	67	5	38	8	19	15	11	64	21	12	37	16	19	10	21	NA	NA	24	39	24	24	NA	17	10	18	28	38	NA	25	29	28	NA	18	NA	59	12	2	109	8	22	NA	NA	62	28	15	16	49	14	19	47	NA	28	48	45	65	19	41	69	9	50	11	23	2	NA	27	7	50	5	26	15	21	60	16	69	7	NA	34	16	13	NA	33	13	51	17	22	21	57
40	34	19	38	NA	65	77	NA	15	20	NA	24	18	42	68	7	52	11	27	17	7	76	11	13	30	32	9	5	35	NA	NA	29	39	26	16	NA	34	12	17	36	32	NA	39	22	30	NA	33	NA	81	24	2	116	NA	18	NA	NA	52	33	18	20	60	7	24	54	NA	33	53	35	82	25	45	85	15	53	18	39	NA	NA	38	8	55	4	18	18	27	51	22	79	5	NA	30	20	14	NA	31	18	58	21	34	26	85
45	38	7	47	NA	91	85	NA	21	8	NA	35	11	49	75	8	55	13	42	18	14	111	9	9	45	27	12	3	43	NA	NA	17	52	35	24	NA	34	7	16	44	27	NA	49	15	43	NA	47	NA	61	24	5	141	NA	27	NA	NA	51	52	28	20	93	10	9	53	NA	31	57	45	122	34	68	82	14	59	10	41	NA	NA	32	5	76	12	21	10	38	64	15	99	8	NA	51	23	18	NA	22	32	80	25	44	40	76
