0	4	5	4	4	3	4	4	4	5	4	4	4	5	2	4	4	5	4	3	4	3	4	2	3	4	4	5	3	4	3	4	5	5	4	4	5	2	4	5	3	4	2	4	2	2	4	3	4	4	3	4	3	5	5	1	5	5	4	2	3	4	5	4	4	2	4	3	2	4	4	3	3	3	4	2	2	3	4	2	3	3	5	4	3	2	2	4	5	3	4	4	4	2	4	3	3	4	4	3	3
5	61	54	65	62	51	56	62	67	61	48	61	54	60	45	47	41	73	53	74	62	62	48	32	48	69	50	101	47	61	56	52	61	57	69	51	46	45	74	100	59	47	46	51	54	63	52	58	56	64	52	59	51	93	57	34	61	49	63	55	45	57	54	52	78	51	57	54	41	55	50	66	61	55	88	34	42	57	89	54	62	63	59	47	52	60	52	55	61	49	56	59	77	56	75	53	54	68	69	50	58
10	281	150	234	228	208	207	201	191	177	126	160	149	200	140	177	150	288	232	263	229	206	157	124	192	249	133	348	233	148	177	131	139	125	231	245	129	144	320	252	170	161	175	173	286	225	141	160	189	247	132	154	155	294	184	212	141	153	183	246	143	211	153	142	243	170	188	318	136	185	188	291	204	160	422	133	129	194	328	242	194	229	183	205	183	150	166	181	222	143	149	215	301	218	278	159	195	236	241	169	240
15	940	365	833	651	790	531	557	581	415	349	444	316	602	373	472	346	1040	893	594	519	414	469	282	555	815	257	1049	799	234	533	295	287	232	694	665	236	322	875	491	525	404	522	429	1032	661	395	373	640	856	385	327	431	683	649	599	315	440	571	1013	313	610	345	280	720	507	595	1099	310	535	503	906	721	425	1351	361	391	471	868	588	432	729	563	778	455	439	480	585	641	345	427	595	891	616	854	468	519	702	807	521	695
20	2489	1126	2363	1464	2218	1307	1563	1335	998	855	1553	834	1883	1038	1266	1007	3127	3055	1475	1169	883	1148	926	1564	2488	652	2848	2165	519	1647	808	829	544	2379	1548	541	990	2080	1293	1712	930	1280	1274	2886	1746	1025	923	1883	2622	1332	833	1310	1586	1583	1505	948	1169	1464	2804	827	1679	881	716	2153	1396	1436	2818	848	1659	1358	2344	2201	1030	3831	862	1018	1190	2290	1653	1114	2046	1583	2298	1096	1307	1480	1462	2018	955	1476	1671	2046	1344	2844	1645	1454	1855	2354	1512	1800
25	6549	2882	6132	3673	5897	3024	4608	3432	2720	2060	4411	2138	5404	3032	3468	2834	8402	8235	3716	2917	2238	3185	2542	4414	6966	1815	7307	5452	1321	4326	2224	2360	1792	6952	4200	1585	3077	5192	3696	4648	2414	3247	3729	8178	4363	2749	2525	5253	7044	4258	2033	3957	3840	3655	3634	2528	2870	3397	7363	2091	4483	2627	1547	5730	3915	3227	6761	2278	4719	4052	5568	6138	2984	10190	2438	2769	3405	5900	4747	2881	5114	4595	6501	2685	3728	4410	3922	5932	2393	4076	4736	4816	3376	7856	5231	4060	5240	6095	4613	4876
30	16653	7572	15487	9881	14362	7648	12882	8877	7600	5235	11440	6039	14102	7944	9111	7802	20212	20478	9356	7424	6162	8638	6782	12014	17562	5374	18214	13414	3785	10511	5495	6403	4901	16796	11289	4264	8362	13111	9312	11938	6017	8295	9969	20014	11264	7068	6173	13879	17759	11705	5223	10601	9895	9904	8696	7188	7547	9273	19011	5552	10982	7383	3460	14347	11333	7941	15890	6120	12179	11122	13691	15756	8126	24555	6847	7044	9598	14138	12509	8028	12113	11781	16376	6750	10291	12060	9944	15426	6083	10512	11916	11459	8990	19929	13011	10519	14153	15422	12868	13257
35	36377	19280	34287	23920	31580	17872	29784	21167	19238	12866	26295	15376	32293	19121	22136	19191	40797	43015	21982	18119	15935	21682	17668	28309	36653	14375	38840	30395	10080	24677	13829	16319	12407	35861	27106	10838	20837	29739	22078	27343	14208	19838	24042	40083	26004	17870	14587	30861	38087	27972	13224	25579	24773	24517	21263	17972	18519	22189	40134	14538	25210	19164	8101	31263	27845	19140	33000	15903	28325	27015	30855	33509	19138	46099	17122	17717	24360	31294	28361	20818	28131	26313	34740	16011	25317	28261	23458	33795	15376	24938	26752	25966	21867	41381	29854	25457	32069	34517	29194	30324
40	55712	40736	54565	45775	52166	36598	51774	42560	41068	29514	48330	34283	53930	38973	43480	38736	57203	58201	43365	38521	34893	44312	36643	52061	54577	32857	56197	51967	23742	46766	31690	35653	28551	55513	48944	25385	43278	52309	43448	49085	32001	41411	45465	54251	48198	38089	31003	53789	56818	51309	29872	47697	48149	46660	42808	38015	39258	43307	56427	32318	46850	40471	18403	52299	49303	40468	52045	34590	50913	51824	52954	53801	37798	54627	37429	38021	46799	52598	50288	42076	52087	48192	54230	35042	48366	50365	46244	54551	33715	46927	47862	47257	43876	56673	52314	47939	53492	54653	50140	52372
45	43122	57053	46084	54427	48041	53356	51895	55952	56641	50059	54083	54153	49607	55932	54966	56065	37206	35454	55911	56218	55365	57295	55247	53164	42995	53980	40129	50450	45351	54108	52678	54776	49998	43673	53038	48255	55579	50297	54935	52788	52946	56974	54738	38487	53042	55808	50453	50431	41626	53457	50943	55067	55519	55478	55837	55879	57099	56420	38977	52277	54908	56914	36132	49029	54188	55696	46002	55613	53001	55514	49687	46437	54620	29659	56976	56464	55543	49051	52683	56448	53434	53857	45101	53645	55500	52903	54693	47680	53868	54435	52900	53001	55971	37374	51645	55153	50072	46484	51011	50845
