0	1	1	2	3	3	2	1	2	2	3	1	3	2	1	1	2	3	2	1	2	3	2	2	2	2	2	1	1	4	1	1	5	3	2	3	4	1	1	1	1	1	2	3	1	1	1	2	1	2	3	3	2	1	3	1	4	1	2	3	1	2	3	2	2	1	2	2	1	2	2	3	2	2	2	1	1	2	2	2	2	1	4	3	1	3	3	1	2	4	4	1	2	3	3	1	2	1	2	1	3
5	8	20	13	21	20	14	3	12	11	19	3	24	19	8	14	12	4	13	8	19	9	10	9	20	20	7	7	15	24	3	5	25	21	6	23	21	13	10	3	10	5	18	17	3	5	5	12	5	14	15	15	11	9	16	4	13	5	15	32	8	18	11	10	18	6	11	16	7	12	10	16	18	13	9	12	5	10	9	8	12	6	15	4	11	26	19	7	10	22	22	2	13	14	21	1	10	15	15	13	23
10	28	43	33	43	31	26	14	21	36	30	1	41	35	21	19	40	8	33	25	35	23	25	19	35	42	23	24	27	48	13	7	50	49	12	35	42	26	22	20	24	16	33	33	18	12	11	30	30	32	32	28	20	19	41	17	41	12	40	74	31	51	28	17	33	17	24	33	22	31	29	31	25	39	14	22	12	17	25	7	19	17	40	7	15	45	57	16	35	39	48	11	31	35	32	6	36	34	34	19	42
15	43	74	39	66	53	47	23	33	68	56	5	77	68	39	38	70	17	52	53	64	51	45	31	61	61	34	42	31	67	30	17	92	69	36	75	70	65	55	60	51	35	38	70	32	28	22	58	48	54	53	43	38	45	59	25	78	28	72	113	45	106	61	45	60	41	45	51	48	40	42	47	55	97	17	31	17	36	42	30	27	28	86	20	27	79	123	39	55	26	115	30	59	56	54	19	58	60	44	38	57
20	58	109	78	96	70	85	56	58	99	76	13	133	142	49	48	122	36	73	109	90	87	68	68	96	81	62	79	47	99	44	33	164	95	54	105	101	113	67	106	85	62	60	93	58	60	46	114	89	108	120	79	77	86	92	36	137	49	113	233	75	160	90	85	77	64	57	105	67	59	52	69	88	148	35	64	35	74	66	40	39	53	157	34	28	111	191	57	92	45	215	50	91	99	110	34	69	82	76	72	99
25	109	137	114	146	113	167	72	69	152	144	27	196	221	78	107	181	68	112	163	120	92	125	133	136	126	97	121	73	183	76	70	263	119	89	155	163	145	96	173	182	107	88	133	92	114	58	165	132	169	139	99	121	166	156	66	205	75	156	360	98	215	142	135	119	103	81	196	117	95	62	129	140	184	43	113	57	80	94	100	88	70	260	48	38	197	336	81	134	73	357	128	94	160	124	54	116	134	99	96	169
30	161	234	124	287	148	295	115	134	232	203	50	260	330	86	188	284	98	164	238	218	141	213	244	187	183	160	182	125	280	115	128	423	204	147	216	224	231	131	339	285	145	100	213	165	190	90	250	255	313	247	162	148	244	219	109	370	121	217	598	166	329	216	283	148	162	135	344	150	161	92	186	175	321	77	185	115	95	83	148	174	127	429	85	55	307	525	174	181	142	593	205	118	214	175	85	170	240	142	119	224
35	233	362	183	468	274	417	156	234	390	284	60	428	426	133	327	408	140	281	311	322	216	302	365	269	333	296	275	251	434	148	239	603	358	237	317	333	368	234	655	383	229	153	300	270	269	164	351	389	532	414	288	233	412	321	185	540	171	365	905	258	451	388	457	245	247	239	638	220	238	131	262	284	539	110	250	173	138	131	215	280	214	648	156	97	442	759	292	259	221	932	297	164	315	258	160	233	379	207	185	345
40	373	506	287	629	401	607	183	345	541	419	98	649	627	236	589	620	232	390	527	541	261	419	615	390	561	416	393	314	662	238	372	908	606	344	528	567	577	356	893	602	331	300	400	420	397	209	457	593	826	703	488	376	567	509	272	866	252	516	1345	425	711	630	696	446	344	361	1054	357	411	181	477	419	919	160	316	286	206	210	308	401	281	890	185	161	597	1189	430	377	379	1375	494	259	434	362	239	314	603	333	234	520
45	652	787	420	1000	648	887	210	493	729	640	145	1015	934	312	1067	883	376	658	856	848	354	640	968	575	922	626	521	445	1031	320	539	1319	882	481	757	828	850	529	1330	859	451	470	617	635	575	333	673	1008	1321	1056	730	541	861	778	354	1427	365	792	2102	664	1013	940	1068	654	488	581	1637	515	733	236	720	594	1422	240	392	396	359	312	403	649	400	1363	300	253	897	1892	678	557	512	1919	798	379	571	547	306	485	937	527	338	849
50	946	1258	627	1452	1010	1238	295	684	1137	1021	193	1555	1357	436	1625	1250	553	1058	1322	1309	530	1000	1514	849	1496	969	764	651	1608	527	723	1882	1251	600	1091	1317	1239	817	2046	1288	630	717	957	994	810	499	1094	1620	1972	1602	1180	863	1233	1104	585	2045	557	1083	3032	1087	1633	1370	1789	1018	665	960	2558	849	1039	323	1137	965	2159	330	641	580	609	470	662	982	611	2040	479	317	1412	2792	1008	891	638	3007	1115	565	779	915	514	850	1437	771	531	1293
55	1483	1903	936	2137	1514	1940	411	916	1796	1568	246	2350	1968	634	2537	1824	857	1619	1928	1928	776	1575	2469	1261	2489	1569	1100	901	2388	831	1000	2756	1891	864	1566	2149	1830	1243	3019	2034	947	1064	1403	1726	1143	720	1619	2490	2775	2526	1652	1303	1930	1639	869	2967	858	1734	4358	1681	2500	2006	2979	1586	1061	1412	3834	1362	1553	533	1958	1513	3317	507	855	922	964	665	1026	1618	933	3057	798	437	2088	4098	1491	1429	969	4408	1733	941	1143	1339	792	1295	2251	1248	807	1876
60	2287	2885	1396	3180	2248	2863	651	1404	2610	2259	393	3433	2763	996	3825	2786	1196	2400	2791	2916	1168	2342	3698	1876	3715	2362	1486	1289	3622	1317	1677	4092	2961	1259	2388	3338	2763	1899	4499	2923	1556	1557	2073	2646	1780	1139	2387	3732	3972	3822	2430	1859	2802	2544	1397	4351	1407	2785	6194	2463	3729	2960	4358	2425	1516	2144	5456	2041	2301	783	3064	2228	4802	753	1340	1435	1519	1008	1572	2397	1301	4722	1257	610	3295	5934	2173	2226	1479	6514	2646	1302	1699	2040	1281	2025	3324	1983	1225	2771
65	3427	4390	2233	4783	3172	4490	1002	2129	3961	3348	624	5143	4173	1446	5582	4077	1715	3553	4118	4233	1787	3491	5538	2732	5541	3468	2137	1821	5366	2118	2499	5988	4376	1739	3680	5089	3936	2722	6545	4283	2307	2336	2989	3923	2667	1729	3574	5654	5724	5754	3530	2889	4151	3663	2018	6432	2033	4399	8763	3764	5606	4188	6299	3681	2199	3070	7812	3334	3336	1219	4730	3163	6789	1119	1965	2227	2265	1597	2488	3532	2033	6886	1928	877	5056	8360	3195	3357	2222	9312	4043	2019	2648	3356	2129	3006	4807	3091	1819	4161
70	5206	6243	3420	7059	4522	6565	1465	3158	5941	4994	914	7595	6153	2261	8418	5992	2595	5108	5945	6058	2561	4841	8204	4072	7911	5214	3153	2736	7942	3167	3631	8638	6367	2552	5590	7118	5877	3947	9694	6292	3108	3470	4434	5655	4084	2526	5291	8148	8104	8346	5213	4312	6116	5220	3133	9221	2945	6566	11773	5686	8108	6162	8935	5470	3281	4646	11112	4993	5044	1942	6750	4598	9736	1645	2931	3535	3436	2477	3760	5182	2908	9985	2812	1409	7423	11514	4958	5037	3349	12956	5710	2910	3759	5036	3279	4382	7115	4416	2682	6191
75	7513	9007	5138	9991	6551	9353	2049	4694	8307	6901	1373	10816	8528	3189	11576	8539	3700	7322	8319	8563	3688	7065	11508	6299	11190	7432	4682	4206	10828	4696	5256	12187	9230	3974	8113	9721	8421	5456	13366	9180	4481	5278	6711	8123	6165	3546	7701	11615	11793	11985	7480	6190	8917	7406	4475	12857	4406	9500	15750	8479	11503	8928	12385	8008	4753	6791	15019	7392	7538	2984	9663	6730	13682	2545	4438	5460	5154	3760	5470	7673	4370	13424	4226	1963	10435	15734	7079	7433	4772	17257	8386	4374	5387	7263	4824	6429	9921	6512	3997	9030
80	10762	12243	7546	13696	9349	12941	3045	6931	11532	9717	2124	14374	11517	4709	15352	12098	5447	10237	11465	11707	5365	9623	15750	8896	15469	10532	6852	5927	15128	6625	7389	16376	12834	5728	11517	13389	12066	7695	17388	12962	6505	7936	9844	11396	8874	4934	11118	15296	16384	16508	10492	8845	12298	10687	6318	17315	6307	13521	20037	11902	15710	12102	16078	11193	6791	9896	18933	10776	10441	4506	13265	9751	17659	4020	6743	7786	7536	5489	7842	10754	6041	18023	6351	2774	14464	20089	10049	10728	7154	21077	12074	6527	7785	10409	6862	9465	13299	9689	5676	12426
85	14238	16448	10796	18136	12786	16568	4630	9839	15630	13370	3241	18178	15468	6829	19318	16130	7902	14098	14969	15706	7984	13348	20147	12184	19606	13897	9799	8355	18967	9332	10463	20354	17445	8057	15408	17234	16422	10492	21733	17402	9397	11308	13615	14997	11829	6879	14616	19425	20711	20386	13922	12331	16307	14731	9066	21057	9065	17170	22858	15683	19918	15968	19892	15436	9705	14169	22374	15327	14135	6733	17294	13490	21493	5697	9893	10988	10529	7876	11025	14466	8705	21687	9081	4173	19091	23061	13292	15049	10472	23604	16271	9295	10969	14016	9608	13131	17399	13375	7808	16527
90	18698	20148	14940	21965	16521	20497	6761	13223	20089	17393	4872	21877	19485	9697	23216	19673	11224	18296	19006	19940	11453	17145	23222	16354	23011	17919	13257	11671	22251	12930	14388	23479	21032	11009	19096	21069	20493	14379	24018	21244	13269	15213	17678	18995	16005	10041	18070	23236	23751	22911	17770	16262	20537	18662	12571	23460	12579	20889	22792	19437	23219	20150	22468	19680	13147	18221	23596	19779	18131	9551	20446	17269	23243	8417	13730	14765	14394	10984	15040	18455	12018	23899	12843	6056	22928	23474	17557	19122	14648	23374	20357	13072	14583	18338	12863	16991	21452	17512	10291	21144
95	22407	22828	19030	23631	20260	23149	9494	16843	23022	21368	7322	23889	23070	13074	24086	22113	15279	21785	22143	22990	15089	20779	24199	20581	24345	21175	17100	14976	23771	16876	18778	24041	22897	14550	22418	22870	23454	18240	23228	23983	17774	19602	21666	23018	19599	13327	21259	24107	23891	23352	21506	20164	22960	22101	16315	23714	16695	22907	20093	21770	24003	23138	22941	23119	16774	21904	22107	23129	21467	13265	22750	21172	22468	11526	17537	18967	18472	14845	19372	21934	16295	23589	16877	8447	24235	21060	21421	22647	19110	19786	23574	17019	18896	22056	17069	21145	23058	21447	13933	23994
100	23949	23316	22320	22155	22585	23388	12917	20807	24070	23445	10415	22595	23677	16876	22007	22909	19193	23831	22632	23615	19077	24074	22169	22939	21418	22748	20493	18954	22081	21278	22392	20745	22518	18964	23805	22898	23840	22013	19404	23492	21850	22942	23968	23944	22539	17108	22737	21585	20494	20583	23475	22817	22564	23810	19947	19701	20979	22578	15193	22851	21204	23352	20685	23607	20216	24081	17234	24308	23545	17428	23301	23604	18762	15233	21635	21894	22078	18694	22755	23526	20496	19208	20708	11787	22094	16087	23510	23685	22376	14051	23536	20619	22317	23500	20476	23788	22623	24027	17573	24153
105	22447	20406	23745	18433	22836	19543	16834	23152	21055	22966	14379	17854	21253	20394	16381	20368	21863	22740	21092	21366	22090	23097	16827	23127	16047	21782	22714	21756	17164	23481	24083	14473	19457	22417	21571	19125	20604	23933	13242	19706	23827	23920	23086	21409	23324	20660	21203	15811	14917	15806	22209	23461	19974	21728	22908	13600	23517	19245	9473	20791	15492	20406	15579	21162	22358	23054	11011	22502	22704	21333	20114	23018	13134	19033	23764	23551	23496	21763	24101	22114	23538	12594	23409	15828	17175	9708	22380	22018	23737	7925	20451	22865	23405	21994	22982	23874	19054	23447	20760	20058
